drug_1	drug_2
DB00422	DB00575
DB01004	DB01610
DB00762	DB01933
DB00635	DB00531
DB00482	DB06243
DB00515	DB00317
DB04620	DB01229
DB00762	DB04620
DB01212	DB00207
DB00958	DB01933
DB06246	DB01101
DB00482	DB01262
DB06534	DB00958
DB01234	DB01041
DB01196	DB01229
DB00982	DB00105
DB00078	DB00073
DB00811	DB00008
DB06573	DB00399
DB00317	DB01101
DB00853	DB00530
DB05259	DB01001
DB00619	DB04960
DB01319	DB00503
DB00526	DB01101
DB00515	DB01030
DB00530	DB01229
DB01104	DB00285
DB00515	DB00762
DB01933	DB01030
DB06595	DB01167
DB00112	DB01101
DB00317	DB01248
DB00563	DB01281
DB00530	DB01248
DB00853	DB04960
DB01006	DB00399
DB01248	DB01101
DB01234	DB05109
DB00853	DB11919
DB00675	DB00072
DB04786	DB01229
DB01248	DB01229
DB00531	DB00987
DB00503	DB00932
DB00553	DB00307
DB01234	DB00480
DB01104	DB00334
DB01201	DB00951
DB00951	DB01045
DB00515	DB04845
DB01217	DB00317
DB00947	DB00317
DB11126	DB00399
DB01073	DB03496
DB01248	DB05134
DB00864	DB01073
DB00758	DB00945
DB00958	DB00188
DB01204	DB00188
DB00877	DB00087
DB00762	DB00188
DB00982	DB01229
DB00530	DB00482
DB00762	DB01041
DB00762	DB00002
DB00441	DB00642
DB05501	DB00503
DB00762	DB00322
DB01248	DB00188
DB00254	DB01060
DB00603	DB00783
DB09072	DB00745
DB00526	DB00188
DB00112	DB01248
DB04786	DB01248
DB01073	DB00188
DB00531	DB00014
DB00317	DB00482
DB06240	DB01248
DB01073	DB00087
DB00087	DB00073
DB00853	DB01041
DB01259	DB01006
DB00531	DB00552
DB00563	DB00073
DB01177	DB15455
DB00313	DB01262
DB01259	DB01229
DB11940	DB00441
DB00099	DB01042
DB00947	DB01217
DB06626	DB01248
DB11940	DB00987
DB01101	DB04960
DB00264	DB04880
DB01259	DB01101
DB06176	DB01073
DB00043	DB13867
DB00482	DB01101
DB00515	DB11940
DB00331	DB00412
DB06448	DB01217
DB00112	DB00073
DB01041	DB00188
DB00884	DB01217
DB00968	DB00099
DB00947	DB04960
DB04786	DB00544
DB01042	DB01008
DB00515	DB11924
DB00619	DB01248
DB00762	DB11940
DB00853	DB11890
DB01590	DB00317
DB00987	DB00694
DB00413	DB01175
DB01128	DB06243
DB01181	DB11919
DB00619	DB01101
DB05134	DB01229
DB00515	DB00642
DB00515	DB00441
DB00864	DB00688
DB01033	DB00563
DB00884	DB00624
DB00012	DB00016
DB00515	DB04915
DB01229	DB04915
DB01610	DB00495
DB00361	DB01101
DB01128	DB01217
DB00648	DB00428
DB05134	DB00188
DB06366	DB00441
DB00331	DB01276
DB05134	DB00987
DB05524	DB06287
DB00853	DB00762
DB00220	DB00709
DB04876	DB01132
DB00222	DB04876
DB00111	DB01024
DB01229	DB00441
DB00530	DB00947
DB00526	DB00773
DB00958	DB00642
DB00331	DB01120
DB00331	DB04876
DB06448	DB05076
DB01248	DB05808
DB00997	DB00188
DB00499	DB06825
DB00563	DB06273
DB01590	DB12558
DB00531	DB01101
DB00331	DB01132
DB00853	DB01030
DB00635	DB01248
DB01609	DB00746
DB00398	DB00851
DB02546	DB00188
DB05101	DB00642
DB06287	DB11752
DB00853	DB00482
DB00982	DB00853
DB05817	DB00987
DB01248	DB00544
DB00530	DB06287
DB00773	DB04960
DB12582	DB11672
DB00014	DB00624
DB06176	DB01262
DB00073	DB00188
DB08826	DB00746
DB01073	DB00073
DB06243	DB00605
DB01104	DB01068
DB00877	DB00688
DB00331	DB00912
DB00762	DB05134
DB00635	DB01281
DB02546	DB01101
DB06335	DB00331
DB06151	DB00800
DB00635	DB05786
DB01043	DB00704
DB00641	DB00973
DB13981	DB00783
DB02546	DB00307
DB00361	DB00441
DB01156	DB00704
DB00177	DB00590
DB00177	DB12230
DB00112	DB00530
DB00531	DB00997
DB00072	DB01006
DB01276	DB00412
DB01075	DB00904
DB01041	DB00073
DB00480	DB00073
DB00745	DB00704
DB00822	DB00704
DB00196	DB00681
DB00361	DB00072
DB00072	DB01101
DB01259	DB01248
DB00822	DB00333
DB01234	DB08889
DB00361	DB01196
DB00695	DB00678
DB00480	DB00188
DB00248	DB01235
DB00619	DB00563
DB01005	DB00619
DB00603	DB00624
DB00571	DB00915
DB01259	DB06589
DB00811	DB08873
DB11906	DB00624
DB00682	DB00252
DB00111	DB00864
DB01076	DB00641
DB01039	DB07215
DB00177	DB00999
DB00381	DB00999
DB00675	DB01006
DB01005	DB00945
DB01234	DB00997
DB01073	DB01008
DB00762	DB00482
DB01116	DB11815
DB00289	DB00422
DB00526	DB01248
DB00335	DB00999
DB04879	DB00441
DB01217	DB00014
DB00531	DB00642
DB01357	DB00603
DB01248	DB00441
DB00958	DB00441
DB00055	DB01225
DB00762	DB00642
DB00072	DB00441
DB00762	DB00441
DB00399	DB00007
DB01126	DB00624
DB00877	DB00864
DB00635	DB00877
DB00005	DB00563
DB00260	DB01238
DB01234	DB00987
DB00005	DB00073
DB00990	DB00482
DB00005	DB00441
DB00990	DB00947
DB00635	DB05259
DB00002	DB00642
DB00675	DB00317
DB01045	DB04845
DB00563	DB00065
DB00563	DB06674
DB01104	DB00279
DB00099	DB00020
DB00762	DB09256
DB01248	DB09256
DB00650	DB09327
DB00060	DB05259
DB00258	DB01076
DB01076	DB00658
DB00938	DB00588
DB00246	DB01104
DB04879	DB00072
DB00441	DB00073
DB02546	DB00982
DB00745	DB01576
DB06626	DB00441
DB14509	DB00313
DB01248	DB00007
DB00635	DB00480
DB00049	DB00437
DB00515	DB01181
DB00030	DB00331
DB00520	DB00582
DB00112	DB00675
DB00460	DB04895
DB00188	DB04960
DB01128	DB00007
DB00254	DB01017
DB00682	DB06779
DB12701	DB00851
DB00402	DB00472
DB00853	DB00959
DB00441	DB00544
DB02546	DB00530
DB00571	DB00572
DB00526	DB00441
DB00853	DB00851
DB00916	DB00537
DB01259	DB00683
DB02546	DB00072
DB04879	DB01006
DB01268	DB00530
DB01101	DB01229
DB00515	DB00002
DB06486	DB00441
DB01050	DB00316
DB04879	DB01248
DB00054	DB01109
DB13809	DB00441
DB02546	DB01262
DB00095	DB01281
DB01076	DB00973
DB01590	DB00530
DB02546	DB03496
DB01101	DB00544
DB00437	DB00841
DB00381	DB00966
DB00740	DB01043
DB00722	DB00966
DB01248	DB14865
DB11641	DB00072
DB00361	DB01030
DB06448	DB01248
DB01268	DB01248
DB00715	DB01224
DB01050	DB06751
DB00675	DB00399
DB01217	DB00399
DB04572	DB01073
DB00458	DB00472
DB00002	DB01101
DB00526	DB00072
DB00762	DB13877
DB00728	DB06206
DB05889	DB00073
DB01104	DB01202
DB01039	DB00641
DB01076	DB01039
DB01933	DB06641
DB00853	DB00313
DB01590	DB04879
DB01248	DB04915
DB00198	DB01032
DB00531	DB00002
DB00635	DB00073
DB01042	DB00188
DB00531	DB00688
DB00020	DB00073
DB00675	DB00014
DB01217	DB00624
DB00201	DB00514
DB01248	DB05294
DB00109	DB00313
DB01234	DB00904
DB01248	DB06629
DB00853	DB06287
DB00653	DB11126
DB00631	DB00987
DB01590	DB00072
DB00317	DB01030
DB00199	DB00343
DB00305	DB06205
DB00877	DB00091
DB11641	DB00642
DB00530	DB11641
DB00687	DB00741
DB04845	DB00445
DB00911	DB00254
DB00911	DB00207
DB00112	DB01590
DB06186	DB00851
DB00002	DB00398
DB05003	DB01248
DB12984	DB01101
DB01132	DB06203
DB00002	DB00441
DB01177	DB02546
DB00030	DB01307
DB01248	DB03496
DB01234	DB00188
DB02546	DB00928
DB00530	DB00441
DB00482	DB00544
DB00722	DB00381
DB00877	DB01229
DB01873	DB00072
DB01048	DB00900
DB01151	DB00704
DB00715	DB00704
DB00502	DB01104
DB00112	DB01030
DB01234	DB00377
DB00222	DB00412
DB01098	DB00932
DB00112	DB00762
DB01023	DB13919
DB05015	DB00188
DB00002	DB01229
DB05015	DB00928
DB00480	DB00928
DB00958	DB05491
DB00958	DB00570
DB14865	DB01175
DB00877	DB00530
DB00295	DB00230
DB05134	DB05015
DB01217	DB00641
DB00531	DB00541
DB00052	DB00007
DB00917	DB00929
DB00503	DB01264
DB05575	DB01229
DB09274	DB00613
DB00945	DB00736
DB04879	DB01229
DB05806	DB00313
DB00515	DB12391
DB12957	DB12484
DB01109	DB00039
DB00331	DB01039
DB00853	DB00958
DB00334	DB00909
DB00258	DB00658
DB00581	DB01220
DB00095	DB00563
DB02546	DB01229
DB04996	DB00530
DB01268	DB11771
DB01268	DB01229
DB00907	DB01080
DB05786	DB00526
DB01234	DB06641
DB03419	DB09256
DB06176	DB00441
DB00608	DB00207
DB00608	DB09274
DB00016	DB00928
DB01073	DB11940
DB00313	DB00928
DB00958	DB04915
DB01177	DB00188
DB00002	DB04845
DB00082	DB06791
DB13919	DB00999
DB00641	DB00945
DB15311	DB00544
DB00177	DB09026
DB00530	DB00642
DB01610	DB06819
DB00762	DB00958
DB12984	DB00072
DB06589	DB01248
DB01254	DB00002
DB00515	DB06263
DB11641	DB00441
DB04879	DB00642
DB01248	DB00072
DB00530	DB00605
DB00480	DB06287
DB11828	DB00072
DB00398	DB06641
DB01101	DB06641
DB01248	DB06641
DB00531	DB00072
DB00188	DB06641
DB00515	DB12202
DB00893	DB00012
DB06647	DB00441
DB00381	DB09026
DB00853	DB06486
DB00334	DB00313
DB01268	DB00877
DB00682	DB06634
DB01026	DB06634
DB00112	DB00947
DB00112	DB01217
DB01248	DB12191
DB00864	DB00563
DB00563	DB11988
DB12191	DB00188
DB05608	DB00642
DB00530	DB00002
DB00442	DB14126
DB13868	DB00709
DB13868	DB00442
DB01234	DB00322
DB00635	DB03010
DB00530	DB00307
DB00877	DB00072
DB00675	DB06825
DB06825	DB01006
DB00531	DB00631
DB00480	DB00851
DB00008	DB01265
DB05015	DB00544
DB00673	DB00377
DB08871	DB00515
DB00619	DB00020
DB11126	DB01006
DB00635	DB06772
DB00041	DB00398
DB05294	DB00642
DB00740	DB01221
DB00331	DB01261
DB01590	DB00091
DB00811	DB00507
DB00305	DB00544
DB00515	DB01590
DB01248	DB00445
DB00860	DB00688
DB00177	DB01599
DB01109	DB00544
DB00104	DB05575
DB00773	DB00073
DB12191	DB00073
DB06599	DB00033
DB00112	DB00188
DB00020	DB00072
DB06701	DB01018
DB01030	DB00441
DB00201	DB00975
DB00512	DB06149
DB00186	DB00652
DB00990	DB00014
DB01041	DB00399
DB01270	DB00460
DB00203	DB00559
DB00006	DB01109
DB01590	DB00642
DB00402	DB00285
DB11699	DB00734
DB00503	DB01232
DB00112	DB00398
DB01259	DB01030
DB00242	DB00068
DB00635	DB04849
DB06486	DB01101
DB00254	DB01045
DB06285	DB00399
DB01254	DB01248
DB00530	DB01101
DB00112	DB14865
DB00853	DB05294
DB00997	DB01229
DB01259	DB00112
DB11828	DB01229
DB00177	DB00584
DB00678	DB00999
DB00177	DB00381
DB01259	DB00441
DB01248	DB00002
DB00877	DB00398
DB06155	DB00331
DB00222	DB00331
DB00515	DB05294
DB00020	DB00499
DB11641	DB01101
DB05259	DB04573
DB00947	DB06486
DB00317	DB00641
DB00530	DB06486
DB00659	DB01175
DB01254	DB01101
DB00552	DB00087
DB00515	DB01101
DB00947	DB04849
DB01151	DB01175
DB00030	DB01276
DB00218	DB01201
DB00112	DB01006
DB01222	DB00471
DB00635	DB08910
DB00218	DB01044
DB09327	DB00398
DB01030	DB00398
DB00635	DB09312
DB00112	DB00877
DB01276	DB00572
DB00526	DB00642
DB01259	DB00072
DB01128	DB01126
DB12242	DB00762
DB01339	DB06206
DB01075	DB01233
DB01216	DB00624
DB05259	DB08880
DB04849	DB11805
DB09312	DB00073
DB01204	DB00020
DB01261	DB01276
DB01234	DB01248
DB00043	DB00455
DB01217	DB05294
DB00282	DB00399
DB00480	DB00531
DB00028	DB01197
DB06287	DB00188
DB00297	DB00281
DB01238	DB00313
DB01181	DB00997
DB00635	DB05812
DB00853	DB01611
DB01248	DB06094
DB00563	DB06168
DB00279	DB00451
DB00068	DB08880
DB00072	DB04845
DB01076	DB00399
DB00060	DB00068
DB01268	DB00112
DB00060	DB00959
DB00060	DB00641
DB00531	DB01248
DB00650	DB04849
DB00201	DB00810
DB00238	DB01045
DB00625	DB01045
DB01254	DB00313
DB00480	DB00313
DB01259	DB00313
DB00398	DB00313
DB01229	DB11805
DB00958	DB11805
DB01268	DB00851
DB01390	DB06151
DB14920	DB00073
DB00515	DB01269
DB00034	DB14865
DB00480	DB14877
DB01273	DB00704
DB04849	DB01206
DB00034	DB00773
DB01590	DB12369
DB01058	DB00518
DB00287	DB00373
DB00515	DB00398
DB01320	DB00252
DB00711	DB00518
DB01156	DB00402
DB12427	DB00683
DB00889	DB06634
DB06634	DB00412
DB06634	DB00757
DB00853	DB00188
DB01259	DB00361
DB00773	DB00313
DB09074	DB01030
DB00958	DB09074
DB09074	DB01229
DB09074	DB00851
DB00112	DB00958
DB00273	DB00191
DB06643	DB00630
DB02772	DB00281
DB00296	DB00297
DB09327	DB01041
DB01590	DB00853
DB15101	DB00441
DB01030	DB06287
DB00022	DB00853
DB00877	DB00041
DB00853	DB07232
DB00002	DB00544
DB00788	DB00736
DB01259	DB00642
DB06292	DB00331
DB08816	DB00945
DB00649	DB00495
DB12513	DB00441
DB06486	DB00642
DB00112	DB00313
DB00582	DB00362
DB06660	DB01175
DB00254	DB00530
DB00291	DB00073
DB00682	DB00476
DB00947	DB01101
DB00398	DB00188
DB00531	DB00482
DB00633	DB00818
DB08910	DB00441
DB01248	DB00959
DB00178	DB00381
DB12556	DB01248
DB00853	DB00398
DB00947	DB01006
DB08885	DB01248
DB01248	DB06366
DB00072	DB06366
DB00571	DB01001
DB03312	DB00441
DB00422	DB01224
DB06819	DB08909
DB01073	DB06193
DB00987	DB00073
DB00727	DB01132
DB00722	DB00678
DB01268	DB00441
DB12589	DB00073
DB01409	DB00938
DB00112	DB00441
DB01009	DB01233
DB00012	DB09146
DB01249	DB06151
DB00295	DB00333
DB01234	DB08910
DB06410	DB06724
DB00105	DB01262
DB00762	DB05931
DB00762	DB01269
DB02546	DB01248
DB01254	DB00399
DB01011	DB00842
DB06603	DB00072
DB01101	DB04845
DB13867	DB00938
DB01611	DB00188
DB01268	DB01101
DB01590	DB00947
DB01601	DB00921
DB00654	DB12623
DB08885	DB00441
DB00631	DB00056
DB00526	DB00002
DB00640	DB00325
DB14865	DB00399
DB00987	DB00227
DB01093	DB00083
DB01274	DB13139
DB01248	DB00227
DB01229	DB00227
DB01098	DB01039
DB00530	DB06169
DB00959	DB00073
DB00530	DB08875
DB00181	DB00186
DB01254	DB00441
DB00061	DB01008
DB00615	DB00207
DB00002	DB14951
DB11689	DB06287
DB00530	DB11689
DB11689	DB00851
DB11689	DB01248
DB11841	DB00530
DB00422	DB00215
DB00112	DB05304
DB00331	DB06168
DB00531	DB00398
DB00531	DB00959
DB00398	DB14865
DB01234	DB00642
DB00530	DB00398
DB00112	DB06287
DB00530	DB01030
DB01073	DB12191
DB00441	DB01269
DB00818	DB01221
DB00008	DB00442
DB01409	DB05039
DB00818	DB00899
DB00296	DB01234
DB00898	DB00184
DB00513	DB06692
DB06817	DB00555
DB09462	DB00316
DB00034	DB00112
DB06589	DB00642
DB06589	DB00530
DB00996	DB00843
DB00996	DB00476
DB01248	DB00398
DB04572	DB00563
DB01234	DB00741
DB00022	DB00398
DB00188	DB00928
DB00502	DB00334
DB00515	DB12984
DB01101	DB00441
DB00515	DB00039
DB00635	DB00993
DB11646	DB00997
DB01076	DB00252
DB01076	DB00555
DB14509	DB00285
DB00105	DB05630
DB00515	DB00188
DB00715	DB06660
DB01590	DB01128
DB00997	DB00441
DB11646	DB01269
DB00175	DB01098
DB01098	DB01076
DB06603	DB01101
DB01259	DB06603
DB01294	DB00987
DB00355	DB00601
DB00338	DB00736
DB01222	DB00277
DB00398	DB01006
DB00635	DB04996
DB02546	DB00398
DB00230	DB00497
DB00230	DB01075
DB01234	DB08877
DB01270	DB00112
DB00264	DB00999
DB00916	DB00530
DB00980	DB01175
DB06080	DB01229
DB11740	DB00441
DB00515	DB11740
DB00958	DB11740
DB13144	DB01261
DB01259	DB00390
DB08885	DB00853
DB00958	DB05147
DB00860	DB00563
DB00515	DB09499
DB00577	DB11998
DB00091	DB00973
DB01098	DB00973
DB08860	DB00973
DB00996	DB01104
DB01307	DB01306
DB01307	DB00331
DB00092	DB00563
DB01128	DB05294
DB01197	DB09026
DB01197	DB01029
DB01248	DB00642
DB01067	DB00331
DB09357	DB01101
DB01204	DB00002
DB01217	DB00783
DB00377	DB00557
DB00398	DB00441
DB12589	DB00188
DB04835	DB06817
DB00996	DB00898
DB00584	DB01261
DB00863	DB00338
DB00552	DB00020
DB00030	DB01306
DB01590	DB00188
DB00480	DB00762
DB00331	DB00334
DB00334	DB00641
DB00530	DB01197
DB00682	DB00569
DB00526	DB00112
DB00728	DB01400
DB01270	DB00095
DB01268	DB00635
DB11841	DB00990
DB00904	DB00334
DB06589	DB00441
DB00929	DB00834
DB01217	DB01006
DB00762	DB00544
DB11920	DB00736
DB09030	DB00945
DB00448	DB00497
DB01128	DB06486
DB00783	DB00007
DB02546	DB02701
DB01181	DB00399
DB06603	DB01262
DB00530	DB11772
DB01234	DB06287
DB11864	DB00502
DB00635	DB00864
DB00112	DB00361
DB01254	DB01006
DB00396	DB09066
DB00175	DB12181
DB01026	DB01248
DB09312	DB00631
DB00734	DB00834
DB00331	DB06655
DB01076	DB12390
DB00530	DB00361
DB00515	DB06192
DB00188	DB01262
DB01248	DB06287
DB01590	DB01030
DB00853	DB05241
DB00958	DB00002
DB05173	DB01248
DB00361	DB11828
DB01005	DB00661
DB00331	DB09265
DB11881	DB00188
DB00877	DB01026
DB00683	DB06629
DB01268	DB06486
DB00112	DB09074
DB01601	DB06817
DB04954	DB00187
DB00853	DB01262
DB00563	DB12160
DB00747	DB00673
DB01254	DB04845
DB02703	DB00530
DB00530	DB00199
DB11803	DB00563
DB00673	DB00531
DB00396	DB00945
DB06589	DB00997
DB06589	DB00445
DB00333	DB14011
DB00853	DB12191
DB06317	DB00073
DB01101	DB06169
DB00996	DB00295
DB02546	DB00480
DB00878	DB00410
DB00678	DB09026
DB06589	DB01030
DB01234	DB00218
DB00177	DB00678
DB00099	DB06809
DB00958	DB00361
DB01229	DB05595
DB00530	DB06603
DB00480	DB01073
DB00177	DB00973
DB00177	DB00175
DB00177	DB00641
DB00112	DB00642
DB11828	DB01101
DB00091	DB00993
DB14009	DB00704
DB01042	DB06603
DB01224	DB14009
DB00615	DB01601
DB00642	DB06629
DB00490	DB00819
DB00958	DB01262
DB01229	DB00928
DB01156	DB01273
DB00958	DB06656
DB01137	DB00916
DB00530	DB06080
DB00947	DB01254
DB00515	DB12459
DB00112	DB00997
DB14027	DB00331
DB00273	DB00184
DB00811	DB05521
DB06769	DB00073
DB01050	DB12228
DB00316	DB12228
DB00196	DB00362
DB06213	DB00841
DB01319	DB04835
DB02546	DB00242
DB06176	DB00188
DB01048	DB06817
DB01611	DB04845
DB00056	DB00928
DB00193	DB00316
DB00502	DB01624
DB01043	DB00843
DB00213	DB01261
DB00853	DB05931
DB01072	DB06817
DB00014	DB00499
DB01167	DB00642
DB06237	DB00199
DB01026	DB06237
DB06237	DB00503
DB01234	DB00073
DB01045	DB08893
DB00530	DB12200
DB00530	DB05241
DB00277	DB00468
DB01400	DB00297
DB00813	DB00297
DB11899	DB00441
DB00967	DB00341
DB01217	DB00675
DB06309	DB00398
DB00537	DB00468
DB00398	DB01229
DB00633	DB11428
DB01248	DB01611
DB09026	DB00999
DB00043	DB01167
DB00242	DB06287
DB01268	DB01590
DB00073	DB12340
DB01269	DB11972
DB12205	DB01269
DB11526	DB00441
DB00930	DB01132
DB01137	DB00005
DB00635	DB01137
DB01628	DB00586
DB00990	DB06616
DB00273	DB00915
DB00112	DB00262
DB00860	DB00993
DB00040	DB01306
DB13868	DB06683
DB00287	DB00654
DB00724	DB00020
DB01060	DB01009
DB01194	DB00484
DB01234	DB00297
DB01234	DB00961
DB01319	DB06817
DB06186	DB12077
DB00072	DB12442
DB12929	DB00852
DB00112	DB00620
DB01234	DB00112
DB06554	DB01175
DB00482	DB01586
DB12105	DB00331
DB00773	DB00072
DB00402	DB01175
DB00331	DB11811
DB00393	DB00674
DB00635	DB00188
DB00958	DB00997
DB01062	DB00967
DB00072	DB05626
DB06595	DB01590
DB01394	DB06168
DB00877	DB05294
DB06607	DB00860
DB01294	DB00642
DB08935	DB06769
DB00398	DB04845
DB00296	DB00961
DB01259	DB00853
DB01254	DB00530
DB00682	DB11725
DB00762	DB06287
DB06626	DB08865
DB00641	DB00412
DB00390	DB11725
DB01072	DB00503
DB01104	DB00331
DB01234	DB00673
DB01225	DB01017
DB00480	DB00441
DB04878	DB01261
DB00333	DB00745
DB11662	DB00441
DB06292	DB00641
DB06292	DB00177
DB00480	DB00091
DB00052	DB06825
DB06292	DB00222
DB06292	DB01261
DB01039	DB00973
DB00515	DB00445
DB00788	DB00065
DB00073	DB06273
DB00072	DB06641
DB00675	DB06641
DB09297	DB00503
DB01098	DB00201
DB00584	DB09026
DB04835	DB00862
DB00495	DB00313
DB00254	DB00916
DB00254	DB00548
DB00530	DB06366
DB00328	DB06372
DB00112	DB00531
DB00331	DB06203
DB11431	DB00683
DB01270	DB01590
DB00112	DB06603
DB06213	DB00640
DB01254	DB00007
DB00390	DB11828
DB00218	DB06589
DB01132	DB00945
DB00877	DB01262
DB01590	DB00990
DB00112	DB00544
DB00218	DB00601
DB06589	DB01229
DB00531	DB04845
DB00853	DB01101
DB00853	DB01254
DB09096	DB12447
DB00361	DB00398
DB00331	DB05678
DB00030	DB06655
DB00988	DB00741
DB00615	DB00921
DB01045	DB00921
DB01128	DB06603
DB01177	DB05015
DB00997	DB05015
DB06616	DB01006
DB00996	DB01234
DB01181	DB00398
DB00056	DB01262
DB00060	DB08880
DB01109	DB01147
DB00297	DB00959
DB00519	DB00999
DB01248	DB14086
DB01075	DB06287
DB00668	DB00043
DB00531	DB06263
DB06603	DB00188
DB14583	DB00624
DB01229	DB12340
DB01166	DB00945
DB00331	DB01119
DB06328	DB00853
DB00734	DB00215
DB00063	DB00009
DB01026	DB00741
DB00960	DB01454
DB00715	DB00555
DB11840	DB00947
DB00631	DB01262
DB06809	DB00188
DB11586	DB09102
DB06292	DB00390
DB00682	DB06292
DB01268	DB00990
DB00813	DB00818
DB00813	DB00683
DB12109	DB00441
DB06603	DB00642
DB06682	DB00695
DB00246	DB00334
DB00471	DB00394
DB00564	DB00555
DB01036	DB00706
DB00072	DB01229
DB01042	DB06769
DB01156	DB01175
DB01248	DB00745
DB02709	DB00188
DB06769	DB00188
DB06287	DB00642
DB00558	DB00198
DB13868	DB00008
DB00242	DB00073
DB00112	DB04845
DB00178	DB09026
DB05294	DB00188
DB00002	DB00072
DB00818	DB01236
DB00615	DB11649
DB00966	DB00999
DB06643	DB06285
DB01076	DB01132
DB01155	DB00207
DB00798	DB00207
DB11663	DB05773
DB11663	DB00072
DB00635	DB00959
DB06292	DB00887
DB00563	DB00051
DB05521	DB00333
DB00480	DB01229
DB00860	DB01041
DB00112	DB00928
DB01590	DB01229
DB12242	DB00441
DB00213	DB00242
DB00762	DB00530
DB00877	DB00002
DB01076	DB00068
DB00112	DB00853
DB00994	DB01220
DB06603	DB00928
DB01221	DB00683
DB01248	DB11832
DB00563	DB11776
DB06769	DB00087
DB00930	DB00331
DB00020	DB14865
DB06616	DB00448
DB00264	DB01118
DB00673	DB00904
DB00877	DB00059
DB00608	DB01087
DB06616	DB01101
DB01076	DB01394
DB00853	DB08875
DB00625	DB13873
DB01048	DB00709
DB11663	DB01006
DB11663	DB01229
DB00008	DB14126
DB00852	DB00945
DB00443	DB00455
DB00105	DB00227
DB00530	DB08865
DB01590	DB06603
DB08907	DB00331
DB00762	DB15101
DB11699	DB00316
DB09119	DB00331
DB01268	DB00480
DB00006	DB06209
DB00082	DB11685
DB01076	DB06630
DB08916	DB00853
DB00530	DB01611
DB06817	DB14126
DB00811	DB06817
DB01026	DB01394
DB01394	DB00207
DB06243	DB00945
DB12530	DB00073
DB00277	DB01394
DB00091	DB01394
DB01394	DB01211
DB00728	DB01236
DB00728	DB00818
DB00480	DB11385
DB09119	DB00641
DB11662	DB00642
DB00673	DB06717
DB06717	DB00683
DB01076	DB09279
DB00762	DB03496
DB04861	DB00264
DB00625	DB08903
DB08904	DB00563
DB00264	DB01105
DB00958	DB05015
DB00530	DB11857
DB00641	DB14126
DB00641	DB00442
DB00958	DB05294
DB11663	DB05239
DB00802	DB00818
DB11663	DB01129
DB00673	DB00497
DB00927	DB06817
DB00338	DB06817
DB00307	DB01262
DB06772	DB00441
DB11893	DB01045
DB12359	DB00990
DB01259	DB00990
DB00762	DB12340
DB00530	DB12340
DB00958	DB12332
DB01590	DB00997
DB01008	DB00188
DB00291	DB08935
DB00619	DB01229
DB04572	DB00262
DB06589	DB04845
DB00584	DB14276
DB00762	DB06075
DB00633	DB00683
DB00482	DB01628
DB00218	DB01075
DB00864	DB01024
DB04948	DB00470
DB01128	DB06287
DB00515	DB12882
DB00744	DB00482
DB01026	DB12340
DB00335	DB09083
DB02546	DB01611
DB09035	DB06186
DB00099	DB11861
DB00480	DB00002
DB15101	DB00398
DB12360	DB00950
DB00635	DB01024
DB00635	DB00688
DB04998	DB00987
DB01234	DB01026
DB00864	DB05521
DB00091	DB05521
DB00526	DB00928
DB09080	DB01409
DB06181	DB00002
DB11893	DB00843
DB01229	DB11772
DB11740	DB00544
DB00712	DB00316
