node_1	node_1_id	node_1_type	node_2	node_2_id	node_2_type
KCNH2	3757	protein	regulation of heart rate by cardiac conduction	GO:0086091	biological_function
KCNH2	3757	protein	potassium ion export across plasma membrane	GO:0097623	biological_function
KCNH2	3757	protein	membrane repolarization during ventricular cardiac muscle cell action potential	GO:0098915	biological_function
KCNH2	3757	protein	regulation of potassium ion transmembrane transport	GO:1901379	biological_function
KCNH2	3757	protein	negative regulation of potassium ion transmembrane transport	GO:1901380	biological_function
KCNH2	3757	protein	positive regulation of potassium ion transmembrane transport	GO:1901381	biological_function
AR	367	protein	negative regulation of extrinsic apoptotic signaling pathway	GO:2001237	biological_function
KCNH2	3757	protein	negative regulation of potassium ion export	GO:1902303	biological_function
CYP19A1	1588	protein	positive regulation of estradiol secretion	GO:2000866	biological_function
negative regulation of transcription by RNA polymerase II	GO:0000122	biological_function	negative regulation of transcription, DNA-templated	GO:0045892	biological_function
negative regulation of transcription, DNA-templated	GO:0045892	biological_function	transcription, DNA-templated	GO:0006351	biological_function
steroid biosynthetic process	GO:0006694	biological_function	steroid metabolic process	GO:0008202	biological_function
positive regulation of transcription, DNA-templated	GO:0045893	biological_function	transcription, DNA-templated	GO:0006351	biological_function
positive regulation of transcription, DNA-templated	GO:0045893	biological_function	positive regulation of gene expression	GO:0010628	biological_function
positive regulation of transcription by RNA polymerase II	GO:0045944	biological_function	positive regulation of transcription, DNA-templated	GO:0045893	biological_function
neutrophil chemotaxis	GO:0030593	biological_function	neutrophil migration	GO:1990266	biological_function
positive regulation of transcription by RNA polymerase III	GO:0045945	biological_function	positive regulation of transcription, DNA-templated	GO:0045893	biological_function
protein tetramerization	GO:0051262	biological_function	protein oligomerization	GO:0051259	biological_function
regulation of membrane repolarization	GO:0060306	biological_function	membrane repolarization	GO:0086009	biological_function
regulation of membrane repolarization	GO:0060306	biological_function	regulation of membrane potential	GO:0042391	biological_function
membrane repolarization	GO:0086009	biological_function	regulation of membrane potential	GO:0042391	biological_function
potassium ion export	GO:0071435	biological_function	potassium ion transmembrane transport	GO:0071805	biological_function
membrane repolarization during action potential	GO:0086011	biological_function	membrane repolarization	GO:0086009	biological_function
membrane repolarization during cardiac muscle cell action potential	GO:0086013	biological_function	membrane repolarization during action potential	GO:0086011	biological_function
potassium ion export across plasma membrane	GO:0097623	biological_function	potassium ion export	GO:0071435	biological_function
membrane repolarization during ventricular cardiac muscle cell action potential	GO:0098915	biological_function	ventricular cardiac muscle cell action potential	GO:0086005	biological_function
membrane repolarization during ventricular cardiac muscle cell action potential	GO:0098915	biological_function	membrane repolarization during cardiac muscle cell action potential	GO:0086013	biological_function
regulation of potassium ion transmembrane transport	GO:1901379	biological_function	potassium ion transmembrane transport	GO:0071805	biological_function
negative regulation of potassium ion transmembrane transport	GO:1901380	biological_function	potassium ion transmembrane transport	GO:0071805	biological_function
negative regulation of potassium ion transmembrane transport	GO:1901380	biological_function	regulation of potassium ion transmembrane transport	GO:1901379	biological_function
positive regulation of potassium ion transmembrane transport	GO:1901381	biological_function	potassium ion transmembrane transport	GO:0071805	biological_function
positive regulation of potassium ion transmembrane transport	GO:1901381	biological_function	regulation of potassium ion transmembrane transport	GO:1901379	biological_function
negative regulation of potassium ion export	GO:1902303	biological_function	potassium ion export	GO:0071435	biological_function
negative regulation of potassium ion export	GO:1902303	biological_function	negative regulation of potassium ion transmembrane transport	GO:1901380	biological_function
