node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
C0010200	6774	indication	protein	Coughing	STAT3
C0038356	6774	indication	protein	Stomach Neoplasms	STAT3
C0033774	6774	indication	protein	Pruritus	STAT3
C0017574	6774	indication	protein	gingivitis	STAT3
C0007570	6774	indication	protein	celiac disease	STAT3
C0027627	226	indication	protein	Neoplasm Metastasis	ALDOA
C0008325	226	indication	protein	Cholecystitis	ALDOA
C0034012	226	indication	protein	Delayed Puberty	ALDOA
C0151744	226	indication	protein	Myocardial Ischemia	ALDOA
C1458155	226	indication	protein	Mammary Neoplasms	ALDOA
C0008350	226	indication	protein	gallstones	ALDOA
C0018681	351	indication	protein	headache	APP
C0011581	351	indication	protein	Depressive disorder	APP
C0917798	351	indication	protein	Cerebral Ischemia	APP
C0005586	351	indication	protein	bipolar disorder	APP
C0003469	351	indication	protein	Anxiety Disorders	APP
C0002395	351	indication	protein	Alzheimer's disease	APP
C0242422	351	indication	protein	Parkinsonian Disorders	APP
C0007786	351	indication	protein	Brain Ischemia	APP
C0002726	351	indication	protein	Amyloidosis	APP
C0149931	351	indication	protein	Migraine Disorders	APP
C0014544	351	indication	protein	epilepsy	APP
C0038454	351	indication	protein	stroke	APP
C0009952	351	indication	protein	Febrile Convulsions	APP
C0036572	351	indication	protein	seizures	APP
C0497327	351	indication	protein	Dementia	APP
C0004352	1600	indication	protein	Autistic Disorder	DAB1
C0010417	10370	indication	protein	Cryptorchidism	CITED2
C0039685	10370	indication	protein	Tetralogy of Fallot	CITED2
C0038379	7020	indication	protein	Strabismus	TFAP2A
C0018916	7020	indication	protein	Hemangioma	TFAP2A
C0036341	7020	indication	protein	schizophrenia	TFAP2A
C0017168	7020	indication	protein	gastroesophageal reflux disease (GERD)	TFAP2A
C0018834	7020	indication	protein	heartburn	TFAP2A
C0010417	7020	indication	protein	Cryptorchidism	TFAP2A
C0014544	7020	indication	protein	epilepsy	TFAP2A
C0028738	7020	indication	protein	nystagmus	TFAP2A
C0036572	7020	indication	protein	seizures	TFAP2A
C0520679	2033	indication	protein	obstructive sleep apnea	EP300
C0038379	2033	indication	protein	Strabismus	EP300
C0022548	2033	indication	protein	Keloid	EP300
C0011334	2033	indication	protein	cavities	EP300
C0025202	2033	indication	protein	melanoma	EP300
C0009806	2033	indication	protein	constipation	EP300
C0005695	2033	indication	protein	Bladder Neoplasm	EP300
C0017601	2033	indication	protein	glaucoma	EP300
C0003811	2033	indication	protein	Cardiac Arrhythmia	EP300
C0007137	2033	indication	protein	squamous cell carcinoma	EP300
C0001973	2033	indication	protein	Alcoholic Intoxication, Chronic	EP300
C0013274	2033	indication	protein	patent ductus arteriosus (PDA)	EP300
C0014170	2033	indication	protein	Endometrial Neoplasms	EP300
C1458155	2033	indication	protein	Mammary Neoplasms	EP300
C0010417	2033	indication	protein	Cryptorchidism	EP300
C0149925	2033	indication	protein	Small Cell Carcinoma Of Lung	EP300
C0004352	2033	indication	protein	Autistic Disorder	EP300
C0014544	2033	indication	protein	epilepsy	EP300
C0007138	2033	indication	protein	Carcinoma, Transitional Cell	EP300
C0007134	2033	indication	protein	renal cell carcinoma (RCC)	EP300
C0009404	2033	indication	protein	Colorectal Neoplasms	EP300
C0038325	2033	indication	protein	Stevens-Johnson Syndrome	EP300
C0038356	2033	indication	protein	Stomach Neoplasms	EP300
C0028754	2033	indication	protein	obesity	EP300
C0036572	2033	indication	protein	seizures	EP300
C0311277	2033	indication	protein	Obesity, Abdominal	EP300
C0027051	338	indication	protein	Myocardial Infarction	APOB
C0020473	338	indication	protein	hyperlipidemia	APOB
C0013404	338	indication	protein	Dyspnea	APOB
C0745103	338	indication	protein	Hyperlipoproteinemia Type Iia	APOB
C0010054	338	indication	protein	Coronary Arteriosclerosis	APOB
C1956346	338	indication	protein	coronary artery disease (CAD)	APOB
C0023212	338	indication	protein	Left-Sided Heart Failure	APOB
C0020538	338	indication	protein	Hypertensive disease	APOB
C0020443	338	indication	protein	hypercholesterolemia	APOB
C0020445	338	indication	protein	Hypercholesterolemia, Familial	APOB
C0010068	338	indication	protein	coronary heart disease	APOB
C1704417	338	indication	protein	Hyperlipoproteinemia Type Iib	APOB
C0002962	338	indication	protein	angina pectoris	APOB
C0020557	338	indication	protein	hypertriglyceridemia	APOB
C0004943	338	indication	protein	Behcet Syndrome	APOB
C0342881	338	indication	protein	Familial hypercholesterolemia - homozygous	APOB
C0000744	4547	indication	protein	Abetalipoproteinemia	MTTP
C0026650	4547	indication	protein	Movement Disorders	MTTP
C0011581	409	indication	protein	Depressive disorder	ARRB2
C0005586	409	indication	protein	bipolar disorder	ARRB2
C0036341	409	indication	protein	schizophrenia	ARRB2
C0027627	1436	indication	protein	Neoplasm Metastasis	CSF1R
C0011581	1436	indication	protein	Depressive disorder	CSF1R
C0023467	1436	indication	protein	Leukemia, Myelocytic, Acute	CSF1R
C0026838	1436	indication	protein	Muscle Spasticity	CSF1R
C1458155	1436	indication	protein	Mammary Neoplasms	CSF1R
C0036341	2885	indication	protein	schizophrenia	GRB2
C0035579	6521	indication	protein	rickets	SLC4A1
C0001126	6521	indication	protein	Renal Tubular Acidosis	SLC4A1
C0020598	6521	indication	protein	hypocalcemia	SLC4A1
C0029442	6521	indication	protein	osteomalacia	SLC4A1
C0027819	580	indication	protein	neuroblastoma	BARD1
C1458155	580	indication	protein	Mammary Neoplasms	BARD1
C0018801	153	indication	protein	Heart Failure	ADRB1
C0011581	153	indication	protein	Depressive disorder	ADRB1
C0020538	153	indication	protein	Hypertensive disease	ADRB1
C0151744	153	indication	protein	Myocardial Ischemia	ADRB1
C0020452	153	indication	protein	Hyperemia	ADRB1
C0007193	153	indication	protein	Cardiomyopathy, Dilated	ADRB1
C0011849	153	indication	protein	diabetes mellitus	ADRB1
C0242973	153	indication	protein	Ventricular Dysfunction	ADRB1
C0038356	153	indication	protein	Stomach Neoplasms	ADRB1
C0028754	153	indication	protein	obesity	ADRB1
C0030297	672	indication	protein	Pancreatic Neoplasm	BRCA1
C0011581	672	indication	protein	Depressive disorder	BRCA1
C0009806	672	indication	protein	constipation	BRCA1
C1140680	672	indication	protein	Malignant Neoplasm Of Ovary	BRCA1
C0036341	672	indication	protein	schizophrenia	BRCA1
C0006142	672	indication	protein	Malignant Neoplasm Of Breast	BRCA1
C0033578	672	indication	protein	Prostatic Neoplasms	BRCA1
C0031154	672	indication	protein	peritonitis	BRCA1
C0919267	672	indication	protein	Ovarian Neoplasm	BRCA1
C0678222	672	indication	protein	Breast Carcinoma	BRCA1
C1458155	672	indication	protein	Mammary Neoplasms	BRCA1
C0027498	672	indication	protein	Nausea and vomiting	BRCA1
C0000737	672	indication	protein	abdominal pain	BRCA1
C0009806	2668	indication	protein	constipation	GDNF
C0017638	2668	indication	protein	Glioma	GDNF
C0005586	2668	indication	protein	bipolar disorder	GDNF
C0036341	2668	indication	protein	schizophrenia	GDNF
C0014474	2668	indication	protein	ependymoma	GDNF
C0035229	2668	indication	protein	Respiratory Insufficiency	GDNF
C0038220	2668	indication	protein	status epilepticus	GDNF
C0031511	2668	indication	protein	pheochromocytoma	GDNF
C1269683	2668	indication	protein	Major Depressive Disorder	GDNF
C0027498	2668	indication	protein	Nausea and vomiting	GDNF
C0017636	2668	indication	protein	glioblastoma	GDNF
C0000737	2668	indication	protein	abdominal pain	GDNF
C0023418	4436	indication	protein	Leukemia	MSH2
C0003467	4436	indication	protein	anxiety	MSH2
C0011581	4436	indication	protein	Depressive disorder	MSH2
C0009806	4436	indication	protein	constipation	MSH2
C0017638	4436	indication	protein	Glioma	MSH2
C0017181	4436	indication	protein	Gastrointestinal Hemorrhage	MSH2
C0151740	4436	indication	protein	Intracranial Hypertension	MSH2
C0027819	4436	indication	protein	neuroblastoma	MSH2
C0014474	4436	indication	protein	ependymoma	MSH2
C0376545	4436	indication	protein	Hematologic Neoplasms	MSH2
C0034885	4436	indication	protein	Rectal Neoplasms	MSH2
C0919267	4436	indication	protein	Ovarian Neoplasm	MSH2
C0025149	4436	indication	protein	medulloblastoma	MSH2
C0678222	4436	indication	protein	Breast Carcinoma	MSH2
C0007117	4436	indication	protein	basal cell carcinoma (BCC)	MSH2
C0015672	4436	indication	protein	fatigue	MSH2
C0149931	4436	indication	protein	Migraine Disorders	MSH2
C0035412	4436	indication	protein	rhabdomyosarcoma	MSH2
C0014544	4436	indication	protein	epilepsy	MSH2
C0007102	4436	indication	protein	Malignant Tumor Of Colon	MSH2
C0009404	4436	indication	protein	Colorectal Neoplasms	MSH2
C0027498	4436	indication	protein	Nausea and vomiting	MSH2
C0024299	4436	indication	protein	Lymphoma	MSH2
C1527249	4436	indication	protein	colorectal cancer	MSH2
C0038356	4436	indication	protein	Stomach Neoplasms	MSH2
C0017636	4436	indication	protein	glioblastoma	MSH2
C0000737	4436	indication	protein	abdominal pain	MSH2
C0036572	4436	indication	protein	seizures	MSH2
C1263846	4436	indication	protein	attention-deficit/hyperactivity disorder (ADHD)	MSH2
C0023418	2956	indication	protein	Leukemia	MSH6
C0003467	2956	indication	protein	anxiety	MSH6
C0011581	2956	indication	protein	Depressive disorder	MSH6
C0009806	2956	indication	protein	constipation	MSH6
C0017181	2956	indication	protein	Gastrointestinal Hemorrhage	MSH6
C0151740	2956	indication	protein	Intracranial Hypertension	MSH6
C0027819	2956	indication	protein	neuroblastoma	MSH6
C0014474	2956	indication	protein	ependymoma	MSH6
C0376545	2956	indication	protein	Hematologic Neoplasms	MSH6
C0034885	2956	indication	protein	Rectal Neoplasms	MSH6
C0025149	2956	indication	protein	medulloblastoma	MSH6
C0007117	2956	indication	protein	basal cell carcinoma (BCC)	MSH6
C0015672	2956	indication	protein	fatigue	MSH6
C0149931	2956	indication	protein	Migraine Disorders	MSH6
C0035412	2956	indication	protein	rhabdomyosarcoma	MSH6
C0014170	2956	indication	protein	Endometrial Neoplasms	MSH6
C0014544	2956	indication	protein	epilepsy	MSH6
C0007102	2956	indication	protein	Malignant Tumor Of Colon	MSH6
C0027498	2956	indication	protein	Nausea and vomiting	MSH6
C0024299	2956	indication	protein	Lymphoma	MSH6
C0476089	2956	indication	protein	Endometrial Carcinoma	MSH6
C1527249	2956	indication	protein	colorectal cancer	MSH6
C0038356	2956	indication	protein	Stomach Neoplasms	MSH6
C0017636	2956	indication	protein	glioblastoma	MSH6
C0000737	2956	indication	protein	abdominal pain	MSH6
C0036572	2956	indication	protein	seizures	MSH6
C1263846	2956	indication	protein	attention-deficit/hyperactivity disorder (ADHD)	MSH6
C0011334	421	indication	protein	cavities	ARVCF
C0009806	421	indication	protein	constipation	ARVCF
C0231528	421	indication	protein	muscle pain	ARVCF
C0020626	421	indication	protein	hypoparathyroidism	ARVCF
C0036341	421	indication	protein	schizophrenia	ARVCF
C0020598	421	indication	protein	hypocalcemia	ARVCF
C0021051	421	indication	protein	Immunologic Deficiency Syndromes	ARVCF
C0702166	421	indication	protein	Acne	ARVCF
C0039621	421	indication	protein	tetany	ARVCF
C0036508	421	indication	protein	seborrheic dermatitis	ARVCF
C0039685	421	indication	protein	Tetralogy of Fallot	ARVCF
C1263846	421	indication	protein	attention-deficit/hyperactivity disorder (ADHD)	ARVCF
C0001973	1013	indication	protein	Alcoholic Intoxication, Chronic	CDH15
C0032460	1013	indication	protein	Polycystic Ovary Syndrome	CDH15
C0040822	5092	indication	protein	tremors	PCBD1
C0751435	5092	indication	protein	hyperphenylalaninemia (HPA)	PCBD1
C0011581	775	indication	protein	Depressive disorder	CACNA1C
C0005586	775	indication	protein	bipolar disorder	CACNA1C
C0004238	775	indication	protein	atrial fibrillation (AF)	CACNA1C
C0036341	775	indication	protein	schizophrenia	CACNA1C
C0003811	775	indication	protein	Cardiac Arrhythmia	CACNA1C
C0020538	775	indication	protein	Hypertensive disease	CACNA1C
C0021051	775	indication	protein	Immunologic Deficiency Syndromes	CACNA1C
C0004352	775	indication	protein	Autistic Disorder	CACNA1C
C0033975	775	indication	protein	Psychotic Disorders	CACNA1C
C1269683	775	indication	protein	Major Depressive Disorder	CACNA1C
C0085612	775	indication	protein	ventricular arrhythmias	CACNA1C
C0020615	775	indication	protein	hypoglycemia	CACNA1C
C0018801	5664	indication	protein	Heart Failure	PSEN2
C0005586	5664	indication	protein	bipolar disorder	PSEN2
C0036341	5664	indication	protein	schizophrenia	PSEN2
C0002395	5664	indication	protein	Alzheimer's disease	PSEN2
C0007193	5664	indication	protein	Cardiomyopathy, Dilated	PSEN2
C0018802	5664	indication	protein	congestive heart failure	PSEN2
C0497327	5664	indication	protein	Dementia	PSEN2
C0025202	823	indication	protein	melanoma	CAPN1
C0029134	823	indication	protein	Optic Neuritis	CAPN1
C0003811	7273	indication	protein	Cardiac Arrhythmia	TTN
C0026848	7273	indication	protein	Myopathy	TTN
C0007193	7273	indication	protein	Cardiomyopathy, Dilated	TTN
C0005586	3708	indication	protein	bipolar disorder	ITPR1
C0033578	3708	indication	protein	Prostatic Neoplasms	ITPR1
C0026650	3708	indication	protein	Movement Disorders	ITPR1
C0038379	767	indication	protein	Strabismus	CA8
C0007789	767	indication	protein	Cerebral Palsy	CA8
C0040822	767	indication	protein	tremors	CA8
C0014544	767	indication	protein	epilepsy	CA8
C0036572	767	indication	protein	seizures	CA8
C0005586	9223	indication	protein	bipolar disorder	MAGI1
C0036341	9223	indication	protein	schizophrenia	MAGI1
C0030297	1499	indication	protein	Pancreatic Neoplasm	CTNNB1
C0038379	1499	indication	protein	Strabismus	CTNNB1
C0271623	1499	indication	protein	Hypogonadotropic Hypogonadism	CTNNB1
C0023890	1499	indication	protein	hepatic cirrhosis	CTNNB1
C0018681	1499	indication	protein	headache	CTNNB1
C1140680	1499	indication	protein	Malignant Neoplasm Of Ovary	CTNNB1
C0001418	1499	indication	protein	Adenocarcinoma	CTNNB1
C0231528	1499	indication	protein	muscle pain	CTNNB1
C0036341	1499	indication	protein	schizophrenia	CTNNB1
C0020514	1499	indication	protein	hyperprolactinemia	CTNNB1
C0033578	1499	indication	protein	Prostatic Neoplasms	CTNNB1
C0206686	1499	indication	protein	adrenal cortical carcinoma	CTNNB1
C0334634	1499	indication	protein	Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse	CTNNB1
C0009375	1499	indication	protein	Colonic Neoplasms	CTNNB1
C0919267	1499	indication	protein	Ovarian Neoplasm	CTNNB1
C0025149	1499	indication	protein	medulloblastoma	CTNNB1
C0678222	1499	indication	protein	Breast Carcinoma	CTNNB1
C1458155	1499	indication	protein	Mammary Neoplasms	CTNNB1
C0027708	1499	indication	protein	Wilm's tumor	CTNNB1
C0007134	1499	indication	protein	renal cell carcinoma (RCC)	CTNNB1
C0001430	1499	indication	protein	Adenoma	CTNNB1
C0009404	1499	indication	protein	Colorectal Neoplasms	CTNNB1
C0027498	1499	indication	protein	Nausea and vomiting	CTNNB1
C0038325	1499	indication	protein	Stevens-Johnson Syndrome	CTNNB1
C2239176	1499	indication	protein	hepatocellular carcinoma (HCC)	CTNNB1
C1527249	1499	indication	protein	colorectal cancer	CTNNB1
C0038356	1499	indication	protein	Stomach Neoplasms	CTNNB1
C0024121	1499	indication	protein	Lung Neoplasms	CTNNB1
C0687720	1499	indication	protein	central diabetes insipidus	CTNNB1
C0028754	1499	indication	protein	obesity	CTNNB1
C0000737	1499	indication	protein	abdominal pain	CTNNB1
C0030297	5925	indication	protein	Pancreatic Neoplasm	RB1
C0023418	5925	indication	protein	Leukemia	RB1
C0027627	5925	indication	protein	Neoplasm Metastasis	RB1
C0005695	5925	indication	protein	Bladder Neoplasm	RB1
C0007131	5925	indication	protein	Non-Small Cell Lung Carcinoma	RB1
C0036920	5925	indication	protein	Sezary Syndrome	RB1
C0206686	5925	indication	protein	adrenal cortical carcinoma	RB1
C0042909	5925	indication	protein	Vitreous Hemorrhage	RB1
C0376545	5925	indication	protein	Hematologic Neoplasms	RB1
C0007786	5925	indication	protein	Brain Ischemia	RB1
C0007117	5925	indication	protein	basal cell carcinoma (BCC)	RB1
C0553580	5925	indication	protein	Ewing's sarcoma	RB1
C0035335	5925	indication	protein	retinoblastoma	RB1
C1458155	5925	indication	protein	Mammary Neoplasms	RB1
C0149925	5925	indication	protein	Small Cell Carcinoma Of Lung	RB1
C0038325	5925	indication	protein	Stevens-Johnson Syndrome	RB1
C0024299	5925	indication	protein	Lymphoma	RB1
C2239176	5925	indication	protein	hepatocellular carcinoma (HCC)	RB1
C0024121	5925	indication	protein	Lung Neoplasms	RB1
C0029463	5925	indication	protein	osteosarcoma	RB1
C0596263	1523	indication	protein	Carcinogenesis	CUX1
C1269683	1523	indication	protein	Major Depressive Disorder	CUX1
C0678222	7251	indication	protein	Breast Carcinoma	TSG101
C0005695	1026	indication	protein	Bladder Neoplasm	CDKN1A
C0043515	1026	indication	protein	Zollinger-Ellison syndrome	CDKN1A
C0030920	1026	indication	protein	Peptic Ulcer	CDKN1A
C0001206	1026	indication	protein	acromegaly	CDKN1A
C0011991	1026	indication	protein	diarrhea	CDKN1A
C0033578	1026	indication	protein	Prostatic Neoplasms	CDKN1A
C0014868	1026	indication	protein	Esophagitis	CDKN1A
C0009375	1026	indication	protein	Colonic Neoplasms	CDKN1A
C0020502	1026	indication	protein	hyperparathyroidism	CDKN1A
C0007138	1026	indication	protein	Carcinoma, Transitional Cell	CDKN1A
C0021670	1026	indication	protein	Insulinoma	CDKN1A
C0033375	1026	indication	protein	Prolactinoma	CDKN1A
C0020437	1026	indication	protein	hypercalcemia	CDKN1A
C0038356	1026	indication	protein	Stomach Neoplasms	CDKN1A
C0024121	1026	indication	protein	Lung Neoplasms	CDKN1A
C0220994	10166	indication	protein	hyperammonemia	SLC25A15
C0014550	10166	indication	protein	Epilepsies, Myoclonic	SLC25A15
C0017168	5000	indication	protein	gastroesophageal reflux disease (GERD)	ORC4
C0018834	5000	indication	protein	heartburn	ORC4
C1269683	10270	indication	protein	Major Depressive Disorder	AKAP8
C0005586	7534	indication	protein	bipolar disorder	YWHAZ
C0027819	81704	indication	protein	neuroblastoma	DOCK8
C0036341	998	indication	protein	schizophrenia	CDC42
C2239176	1033	indication	protein	hepatocellular carcinoma (HCC)	CDKN3
C0025202	1017	indication	protein	melanoma	CDK2
C0017601	5932	indication	protein	glaucoma	RBBP8
C0006625	5932	indication	protein	cachexia	RBBP8
C0151686	5932	indication	protein	Growth retardation	RBBP8
C0878787	5932	indication	protein	Growth Failure	RBBP8
C0018798	9464	indication	protein	congenital heart defects	HAND2
C0039685	9464	indication	protein	Tetralogy of Fallot	HAND2
C0079744	1213	indication	protein	Diffuse Large B-Cell Lymphoma	CLTC
C0005695	3486	indication	protein	Bladder Neoplasm	IGFBP3
C0151744	3486	indication	protein	Myocardial Ischemia	IGFBP3
C0003873	3486	indication	protein	rheumatoid arthritis	IGFBP3
C0004352	3486	indication	protein	Autistic Disorder	IGFBP3
C0007138	3486	indication	protein	Carcinoma, Transitional Cell	IGFBP3
C0009404	3486	indication	protein	Colorectal Neoplasms	IGFBP3
C0000786	3486	indication	protein	Spontaneous Abortion	IGFBP3
C0038356	3486	indication	protein	Stomach Neoplasms	IGFBP3
C0392784	1277	indication	protein	dermatofibrosarcoma protuberans (DFSP)	COL1A1
C0007642	1277	indication	protein	Cellulitis	COL1A1
C0022548	1277	indication	protein	Keloid	COL1A1
C0018801	1277	indication	protein	Heart Failure	COL1A1
C0023890	1277	indication	protein	hepatic cirrhosis	COL1A1
C0162627	1277	indication	protein	Skin Diseases, Bacterial	COL1A1
C0151526	1277	indication	protein	Premature Birth	COL1A1
C0008311	1277	indication	protein	Cholangitis	COL1A1
C0017168	1277	indication	protein	gastroesophageal reflux disease (GERD)	COL1A1
C0029408	1277	indication	protein	osteoarthritis	COL1A1
C0018834	1277	indication	protein	heartburn	COL1A1
C0037286	1277	indication	protein	Skin Neoplasms	COL1A1
C0233315	1277	indication	protein	Premature Birth Of Newborn	COL1A1
C0020538	1277	indication	protein	Hypertensive disease	COL1A1
C0037299	1277	indication	protein	skin ulcer	COL1A1
C0029453	1277	indication	protein	Osteopenia	COL1A1
C0035229	1277	indication	protein	Respiratory Insufficiency	COL1A1
C0016057	1277	indication	protein	Fibrosarcoma	COL1A1
C0029456	1277	indication	protein	osteoporosis	COL1A1
C0015967	1277	indication	protein	fever	COL1A1
C0004364	1277	indication	protein	Autoimmune Diseases	COL1A1
C0042345	1277	indication	protein	varicose veins	COL1A1
C0018802	1277	indication	protein	congestive heart failure	COL1A1
C0000786	1277	indication	protein	Spontaneous Abortion	COL1A1
C2973725	1277	indication	protein	pulmonary arterial hypertension (PAH)	COL1A1
C0027726	1277	indication	protein	nephrotic syndrome	COL1A1
C0029434	1277	indication	protein	brittle bone disease	COL1A1
C0011616	7295	indication	protein	contact dermatitis	TXN
C0023890	4088	indication	protein	hepatic cirrhosis	SMAD3
C0409959	4088	indication	protein	Osteoarthritis, Knee	SMAD3
C0004238	4088	indication	protein	atrial fibrillation (AF)	SMAD3
C1956346	4088	indication	protein	coronary artery disease (CAD)	SMAD3
C0029408	4088	indication	protein	osteoarthritis	SMAD3
C0023212	4088	indication	protein	Left-Sided Heart Failure	SMAD3
C0020538	4088	indication	protein	Hypertensive disease	SMAD3
C0042138	4088	indication	protein	Uterine Neoplasms	SMAD3
C0010346	4088	indication	protein	Crohn's disease	SMAD3
C3495559	4088	indication	protein	Juvenile Arthritis	SMAD3
C0013405	4088	indication	protein	Dyspnea, Paroxysmal	SMAD3
C0023267	4088	indication	protein	Fibroid Tumor	SMAD3
C0030297	4089	indication	protein	Pancreatic Neoplasm	SMAD4
C0038379	4089	indication	protein	Strabismus	SMAD4
C0002871	4089	indication	protein	anemia	SMAD4
C0008325	4089	indication	protein	Cholecystitis	SMAD4
C0013274	4089	indication	protein	patent ductus arteriosus (PDA)	SMAD4
C0020621	4089	indication	protein	hypokalemia	SMAD4
C0020538	4089	indication	protein	Hypertensive disease	SMAD4
C0026848	4089	indication	protein	Myopathy	SMAD4
C0346647	4089	indication	protein	Malignant Neoplasm Of Pancreas	SMAD4
C0003492	4089	indication	protein	Aortic coarctation	SMAD4
C0149931	4089	indication	protein	Migraine Disorders	SMAD4
C0010417	4089	indication	protein	Cryptorchidism	SMAD4
C0004352	4089	indication	protein	Autistic Disorder	SMAD4
C0014544	4089	indication	protein	epilepsy	SMAD4
C0009404	4089	indication	protein	Colorectal Neoplasms	SMAD4
C1134719	4089	indication	protein	Invasive Ductal Breast Carcinoma	SMAD4
C0038356	4089	indication	protein	Stomach Neoplasms	SMAD4
C0000737	4089	indication	protein	abdominal pain	SMAD4
C0036572	4089	indication	protein	seizures	SMAD4
C0033578	10928	indication	protein	Prostatic Neoplasms	RALBP1
C0020538	10928	indication	protein	Hypertensive disease	RALBP1
C0151744	10928	indication	protein	Myocardial Ischemia	RALBP1
C0032460	891	indication	protein	Polycystic Ovary Syndrome	CCNB1
C0014173	1465	indication	protein	Endometrial Hyperplasia	CSRP1
C0005586	1465	indication	protein	bipolar disorder	CSRP1
C0033578	1465	indication	protein	Prostatic Neoplasms	CSRP1
C0024141	1445	indication	protein	Lupus Erythematosus, Systemic	CSK
C0870082	3643	indication	protein	Hyperkeratosis	INSR
C0018418	3643	indication	protein	Gynecomastia	INSR
C0034013	3643	indication	protein	precocious puberty	INSR
C0020555	3643	indication	protein	Hypertrichosis	INSR
C0030567	3643	indication	protein	Parkinson's Disease	INSR
C0029927	3643	indication	protein	cystic ovaries	INSR
C0031117	3643	indication	protein	peripheral neuropathy	INSR
C0271650	3643	indication	protein	Impaired Glucose Tolerance	INSR
C0034012	3643	indication	protein	Delayed Puberty	INSR
C0001206	3643	indication	protein	acromegaly	INSR
C0259817	3643	indication	protein	Xerosis	INSR
C0002395	3643	indication	protein	Alzheimer's disease	INSR
C0020459	3643	indication	protein	Hyperinsulinism	INSR
C0006625	3643	indication	protein	cachexia	INSR
C0011849	3643	indication	protein	diabetes mellitus	INSR
C0020456	3643	indication	protein	hyperglycemia	INSR
C0011882	3643	indication	protein	Diabetic Neuropathies	INSR
C0020615	3643	indication	protein	hypoglycemia	INSR
C0024115	3643	indication	protein	Lung diseases	INSR
C0085631	3480	indication	protein	Agitation	IGF1R
C0003467	3480	indication	protein	anxiety	IGF1R
C0030567	3480	indication	protein	Parkinson's Disease	IGF1R
C0031117	3480	indication	protein	peripheral neuropathy	IGF1R
C0037286	3480	indication	protein	Skin Neoplasms	IGF1R
C0206686	3480	indication	protein	adrenal cortical carcinoma	IGF1R
C0002395	3480	indication	protein	Alzheimer's disease	IGF1R
C0035229	3480	indication	protein	Respiratory Insufficiency	IGF1R
C0014170	3480	indication	protein	Endometrial Neoplasms	IGF1R
C1458155	3480	indication	protein	Mammary Neoplasms	IGF1R
C0018273	3480	indication	protein	Growth Disorders	IGF1R
C3495559	3480	indication	protein	Juvenile Arthritis	IGF1R
C2239176	3480	indication	protein	hepatocellular carcinoma (HCC)	IGF1R
