db_id	atc_code	level_4	level_4_name	level_3	level_3_name	level_2	level_2_name	level_1	level_1_name
DB00048	D03BA52	D03BA	Proteolytic enzymes	D03B	Enzymes	D03	Preparations for treatment of wounds, ulcers	D	Dermatologicals
DB00048	D03BA02	D03BA	Proteolytic enzymes	D03B	Enzymes	D03	Preparations for treatment of wounds, ulcers	D	Dermatologicals
DB00049	V03AF07	V03AF	Detoxifying agents for antineoplastic treatment	V03A	All other therapeutic products	V03	All other therapeutic products	V	Various
DB00049	M04AX01	M04AX	Other antigout preparations	M04A	Antigout preparations	M04	Antigout preparations	M	Musculo-skeletal system
DB00050	H01CC02	H01CC	Anti-gonadotropin-releasing hormones	H01C	Hypothalamic hormones	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00051	L04AB04	L04AB	Tumor necrosis factor alpha (tnf-α) inhibitors	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00052	H01AC01	H01AC	Somatropin, somatropin agonists	H01A	Anterior pituitary lobe hormones, analogues	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00053	A16AB02	A16AB	Enzymes	A16A	Other alimentary tract, metabolism products	A16	Other alimentary tract, metabolism products	A	Alimentary tract, metabolism
DB00054	B01AC13	B01AC	Platelet aggregation inhibitors excl. heparin	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00055	B01AD10	B01AD	Enzymes	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00056	L01XC05	L01XC	Monoclonal antibodies	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
DB00057	V09IB02	V09IB	Indium (111in) compounds	V09I	Tumour detection	V09	Diagnostic radiopharmaceuticals	V	Various
DB00058	B02AB02	B02AB	Proteinase inhibitors	B02A	Antifibrinolytics	B02	Antihemorrhagics	B	Blood, blood forming organs
DB00059	L01XX24	L01XX	Other antineoplastic agents	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
DB00060	L03AB07	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00062	V08DA01	V08DA	Ultrasound contrast media	V08D	Ultrasound contrast media	V08	Contrast media	V	Various
DB00063	B01AC16	B01AC	Platelet aggregation inhibitors excl. heparin	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00065	L04AB02	L04AB	Tumor necrosis factor alpha (tnf-α) inhibitors	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00066	G03GA05	G03GA	Gonadotropins	G03G	Gonadotropins, other ovulation stimulants	G03	Sex hormones, modulators of the genital system	G	Genito urinary system, sex hormones
DB00066	G03GA06	G03GA	Gonadotropins	G03G	Gonadotropins, other ovulation stimulants	G03	Sex hormones, modulators of the genital system	G	Genito urinary system, sex hormones
DB00067	H01BA06	H01BA	Vasopressin, analogues	H01B	Posterior pituitary lobe hormones	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00067	H01BA01	H01BA	Vasopressin, analogues	H01B	Posterior pituitary lobe hormones	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00067	H01BA03	H01BA	Vasopressin, analogues	H01B	Posterior pituitary lobe hormones	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00068	L03AB08	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00069	L03AB09	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00070	B06AA03	B06AA	Enzymes	B06A	Other hematological agents	B06	Other hematological agents	B	Blood, blood forming organs
DB00071	A10AB03	A10AB	Insulins, analogues for injection, fast-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00071	A10AC03	A10AC	Insulins, analogues for injection, intermediate-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00071	A10AD03	A10AD	Insulins, analogues for injection, intermediate- or long-acting combined with fast-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00071	A10AE03	A10AE	Insulins, analogues for injection, long-acting	A10A	Insulins, analogues	A10	Drugs used in diabetes	A	Alimentary tract, metabolism
DB00072	L01XC03	L01XC	Monoclonal antibodies	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
DB00073	L01XC02	L01XC	Monoclonal antibodies	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
DB00074	L04AC02	L04AC	Interleukin inhibitors	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00075	L04AA02	L04AA	Selective immunosuppressants	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00076	V03AB24	V03AB	Antidotes	V03A	All other therapeutic products	V03	All other therapeutic products	V	Various
DB00078	V10XX02	V10XX	Various therapeutic radiopharmaceuticals	V10X	Other therapeutic radiopharmaceuticals	V10	Therapeutic radiopharmaceuticals	V	Various
DB00080	J01XX09	J01XX	Other antibacterials	J01X	Other antibacterials	J01	Antibacterials for systemic use	J	Antiinfectives for systemic use
DB00081	V10XA53	V10XA	Iodine (131i) compounds	V10X	Other therapeutic radiopharmaceuticals	V10	Therapeutic radiopharmaceuticals	V	Various
DB00082	H01AX01	H01AX	Other anterior pituitary lobe hormones, analogues	H01A	Anterior pituitary lobe hormones, analogues	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00083	M03AX01	M03AX	Other muscle relaxants, peripherally acting agents	M03A	Muscle relaxants, peripherally acting agents	M03	Muscle relaxants	M	Musculo-skeletal system
DB00085	A09AA02	A09AA	Enzyme preparations	A09A	Digestives, incl. enzymes	A09	Digestives, incl. enzymes	A	Alimentary tract, metabolism
DB00086	B01AD01	B01AD	Enzymes	B01A	Antithrombotic agents	B01	Antithrombotic agents	B	Blood, blood forming organs
DB00086	B06AA55	B06AA	Enzymes	B06A	Other hematological agents	B06	Other hematological agents	B	Blood, blood forming organs
DB00087	L04AA34	L04AA	Selective immunosuppressants	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00088	A16AB01	A16AB	Enzymes	A16A	Other alimentary tract, metabolism products	A16	Other alimentary tract, metabolism products	A	Alimentary tract, metabolism
DB00089	V09IB04	V09IB	Indium (111in) compounds	V09I	Tumour detection	V09	Diagnostic radiopharmaceuticals	V	Various
DB00090	A16AB05	A16AB	Enzymes	A16A	Other alimentary tract, metabolism products	A16	Other alimentary tract, metabolism products	A	Alimentary tract, metabolism
DB00091	S01XA18	S01XA	Other ophthalmologicals	S01X	Other ophthalmologicals	S01	Ophthalmologicals	S	Sensory organs
DB00091	L04AD01	L04AD	Calcineurin inhibitors	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00092	L04AA15	L04AA	Selective immunosuppressants	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00094	G03GA04	G03GA	Gonadotropins	G03G	Gonadotropins, other ovulation stimulants	G03	Sex hormones, modulators of the genital system	G	Genito urinary system, sex hormones
DB00095	L04AA21	L04AA	Selective immunosuppressants	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00097	G03GA08	G03GA	Gonadotropins	G03G	Gonadotropins, other ovulation stimulants	G03	Sex hormones, modulators of the genital system	G	Genito urinary system, sex hormones
DB00098	L04AA04	L04AA	Selective immunosuppressants	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00099	L03AA02	L03AA	Colony stimulating factors	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00100	B02BD09	B02BD	Blood coagulation factors	B02B	Vitamin k, other hemostatics	B02	Antihemorrhagics	B	Blood, blood forming organs
DB00102	A01AD08	A01AD	Other agents for local oral treatment	A01A	Stomatological preparations	A01	Stomatological preparations	A	Alimentary tract, metabolism
DB00102	D03AX06	D03AX	Other cicatrizants	D03A	Cicatrizants	D03	Preparations for treatment of wounds, ulcers	D	Dermatologicals
DB00103	A16AB04	A16AB	Enzymes	A16A	Other alimentary tract, metabolism products	A16	Other alimentary tract, metabolism products	A	Alimentary tract, metabolism
DB00103	A16AB03	A16AB	Enzymes	A16A	Other alimentary tract, metabolism products	A16	Other alimentary tract, metabolism products	A	Alimentary tract, metabolism
DB00104	H01CB02	H01CB	Somatostatin, analogues	H01C	Hypothalamic hormones	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00105	L03AB05	L03AB	Interferons	L03A	Immunostimulants	L03	Immunostimulants	L	Antineoplastic, immunomodulating agents
DB00106	L02BX01	L02BX	Other hormone antagonists, related agents	L02B	Hormone antagonists, related agents	L02	Endocrine therapy	L	Antineoplastic, immunomodulating agents
DB00107	G02AC01	G02AC	Ergot alkaloids, oxytocin incl. analogues, in combination	G02A	Uterotonics	G02	Other gynecologicals	G	Genito urinary system, sex hormones
DB00107	H01BB02	H01BB	Oxytocin, analogues	H01B	Posterior pituitary lobe hormones	H01	Pituitary, hypothalamic hormones, analogues	H	Systemic hormonal preparations, excl. sex hormones, insulins
DB00108	L04AA23	L04AA	Selective immunosuppressants	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00109	J05AX07	J05AX	Other antivirals	J05A	Direct acting antivirals	J05	Antivirals for systemic use	J	Antiinfectives for systemic use
DB00110	J06BB16	J06BB	Specific immunoglobulins	J06B	Immunoglobulins	J06	Immune sera, immunoglobulins	J	Antiinfectives for systemic use
DB00111	L04AC01	L04AC	Interleukin inhibitors	L04A	Immunosuppressants	L04	Immunosuppressants	L	Antineoplastic, immunomodulating agents
DB00112	L01XC07	L01XC	Monoclonal antibodies	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
DB00113	V09IA06	V09IA	Technetium (99mtc) compounds	V09I	Tumour detection	V09	Diagnostic radiopharmaceuticals	V	Various
DB00114	A11HA06	A11HA	Other plain vitamin preparations	A11H	Other plain vitamin preparations	A11	Vitamins	A	Alimentary tract, metabolism
DB00115	B03AE01	B03AE	Iron in other combinations	B03A	Iron preparations	B03	Antianemic preparations	B	Blood, blood forming organs
DB00115	B03BA51	B03BA	Vitamin b12 (cyanocobalamin, analogues)	B03B	Vitamin b12, folic acid	B03	Antianemic preparations	B	Blood, blood forming organs
DB00115	B03BA01	B03BA	Vitamin b12 (cyanocobalamin, analogues)	B03B	Vitamin b12, folic acid	B03	Antianemic preparations	B	Blood, blood forming organs
DB00118	A16AA02	A16AA	Amino acids, derivatives	A16A	Other alimentary tract, metabolism products	A16	Other alimentary tract, metabolism products	A	Alimentary tract, metabolism
DB00121	A11HA05	A11HA	Other plain vitamin preparations	A11H	Other plain vitamin preparations	A11	Vitamins	A	Alimentary tract, metabolism
DB00122	N02BA03	N02BA	Salicylic acid, derivatives	N02B	Other analgesics, antipyretics	N02	Analgesics	N	Nervous system
DB00123	B05XB03	B05XB	Amino acids	B05X	I.v. solution additives	B05	Blood substitutes, perfusion solutions	B	Blood, blood forming organs
DB00125	B05XB01	B05XB	Amino acids	B05X	I.v. solution additives	B05	Blood substitutes, perfusion solutions	B	Blood, blood forming organs
DB00126	A11GB01	A11GB	Ascorbic acid (vitamin c), combinations	A11G	Ascorbic acid (vitamin c), incl. combinations	A11	Vitamins	A	Alimentary tract, metabolism
DB00126	A11GA01	A11GA	Ascorbic acid (vitamin c), plain	A11G	Ascorbic acid (vitamin c), incl. combinations	A11	Vitamins	A	Alimentary tract, metabolism
DB00126	S01XA15	S01XA	Other ophthalmologicals	S01X	Other ophthalmologicals	S01	Ophthalmologicals	S	Sensory organs
DB00126	G01AD03	G01AD	Organic acids	G01A	Antiinfectives, antiseptics, excl. combinations with corticosteroids	G01	Gynecological antiinfectives, antiseptics	G	Genito urinary system, sex hormones
DB00130	A16AA03	A16AA	Amino acids, derivatives	A16A	Other alimentary tract, metabolism products	A16	Other alimentary tract, metabolism products	A	Alimentary tract, metabolism
DB00134	V03AB26	V03AB	Antidotes	V03A	All other therapeutic products	V03	All other therapeutic products	V	Various
DB00136	A11CC04	A11CC	Vitamin d, analogues	A11C	Vitamin a, d, incl. combinations of the two	A11	Vitamins	A	Alimentary tract, metabolism
DB00136	D05AX03	D05AX	Other antipsoriatics for topical use	D05A	Antipsoriatics for topical use	D05	Antipsoriatics	D	Dermatologicals
DB00140	A11HA04	A11HA	Other plain vitamin preparations	A11H	Other plain vitamin preparations	A11	Vitamins	A	Alimentary tract, metabolism
DB00142	A09AB01	A09AB	Acid preparations	A09A	Digestives, incl. enzymes	A09	Digestives, incl. enzymes	A	Alimentary tract, metabolism
DB00143	V03AB32	V03AB	Antidotes	V03A	All other therapeutic products	V03	All other therapeutic products	V	Various
DB00145	B05CX03	B05CX	Other irrigating solutions	B05C	Irrigating solutions	B05	Blood substitutes, perfusion solutions	B	Blood, blood forming organs
DB00146	A11CC06	A11CC	Vitamin d, analogues	A11C	Vitamin a, d, incl. combinations of the two	A11	Vitamins	A	Alimentary tract, metabolism
DB00150	N06AX02	N06AX	Other antidepressants	N06A	Antidepressants	N06	Psychoanaleptics	N	Nervous system
DB00152	A11DA01	A11DA	Vitamin b1, plain	A11D	Vitamin b1, plain, in combination with vitamin b6, b12	A11	Vitamins	A	Alimentary tract, metabolism
DB00153	A11CC01	A11CC	Vitamin d, analogues	A11C	Vitamin a, d, incl. combinations of the two	A11	Vitamins	A	Alimentary tract, metabolism
DB00158	B03AE01	B03AE	Iron in other combinations	B03A	Iron preparations	B03	Antianemic preparations	B	Blood, blood forming organs
DB00158	B03AE02	B03AE	Iron in other combinations	B03A	Iron preparations	B03	Antianemic preparations	B	Blood, blood forming organs
DB00158	B03BB51	B03BB	Folic acid, derivatives	B03B	Vitamin b12, folic acid	B03	Antianemic preparations	B	Blood, blood forming organs
DB00158	B03BB01	B03BB	Folic acid, derivatives	B03B	Vitamin b12, folic acid	B03	Antianemic preparations	B	Blood, blood forming organs
DB00162	R01AX02	R01AX	Other nasal preparations	R01A	Decongestants, other nasal preparations for topical use	R01	Nasal preparations	R	Respiratory system
DB00162	D10AD02	D10AD	Retinoids for topical use in acne	D10A	Anti-acne preparations for topical use	D10	Anti-acne preparations	D	Dermatologicals
DB00162	A11CA01	A11CA	Vitamin a, plain	A11C	Vitamin a, d, incl. combinations of the two	A11	Vitamins	A	Alimentary tract, metabolism
DB00162	S01XA02	S01XA	Other ophthalmologicals	S01X	Other ophthalmologicals	S01	Ophthalmologicals	S	Sensory organs
DB00162	V04CB01	V04CB	Tests for fat absorption	V04C	Other diagnostic agents	V04	Diagnostic agents	V	Various
DB00165	A11HA02	A11HA	Other plain vitamin preparations	A11H	Other plain vitamin preparations	A11	Vitamins	A	Alimentary tract, metabolism
DB00166	A16AX01	A16AX	Various alimentary tract, metabolism products	A16A	Other alimentary tract, metabolism products	A16	Other alimentary tract, metabolism products	A	Alimentary tract, metabolism
DB00169	M05BB08	M05BB	Bisphosphonates, combinations	M05B	Drugs affecting bone structure, mineralization	M05	Drugs for treatment of bone diseases	M	Musculo-skeletal system
DB00169	M05BB04	M05BB	Bisphosphonates, combinations	M05B	Drugs affecting bone structure, mineralization	M05	Drugs for treatment of bone diseases	M	Musculo-skeletal system
DB00169	A11CC05	A11CC	Vitamin d, analogues	A11C	Vitamin a, d, incl. combinations of the two	A11	Vitamins	A	Alimentary tract, metabolism
DB00169	M05BB05	M05BB	Bisphosphonates, combinations	M05B	Drugs affecting bone structure, mineralization	M05	Drugs for treatment of bone diseases	M	Musculo-skeletal system
DB00169	M05BB03	M05BB	Bisphosphonates, combinations	M05B	Drugs affecting bone structure, mineralization	M05	Drugs for treatment of bone diseases	M	Musculo-skeletal system
DB00169	M05BX53	M05BX	Other drugs affecting bone structure, mineralization	M05B	Drugs affecting bone structure, mineralization	M05	Drugs for treatment of bone diseases	M	Musculo-skeletal system
DB00169	M05BB07	M05BB	Bisphosphonates, combinations	M05B	Drugs affecting bone structure, mineralization	M05	Drugs for treatment of bone diseases	M	Musculo-skeletal system
DB00170	B02BA02	B02BA	Vitamin k	B02B	Vitamin k, other hemostatics	B02	Antihemorrhagics	B	Blood, blood forming organs
DB00175	C10AA03	C10AA	Hmg coa reductase inhibitors	C10A	Lipid modifying agents, plain	C10	Lipid modifying agents	C	Cardiovascular system
DB00175	C10BX02	C10BX	Hmg coa reductase inhibitors, other combinations	C10B	Lipid modifying agents, combinations	C10	Lipid modifying agents	C	Cardiovascular system
DB00175	C10BA03	C10BA	Hmg coa reductase inhibitors in combination with other lipid modifying agents	C10B	Lipid modifying agents, combinations	C10	Lipid modifying agents	C	Cardiovascular system
DB00176	N06AB08	N06AB	Selective serotonin reuptake inhibitors	N06A	Antidepressants	N06	Psychoanaleptics	N	Nervous system
DB00177	C09DX02	C09DX	Angiotensin ii antagonists, other combinations	C09D	Angiotensin ii antagonists, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00177	C10BX10	C10BX	Hmg coa reductase inhibitors, other combinations	C10B	Lipid modifying agents, combinations	C10	Lipid modifying agents	C	Cardiovascular system
DB00177	C09DB08	C09DB	Angiotensin ii antagonists, calcium channel blockers	C09D	Angiotensin ii antagonists, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00177	C09DX01	C09DX	Angiotensin ii antagonists, other combinations	C09D	Angiotensin ii antagonists, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00177	C09DB01	C09DB	Angiotensin ii antagonists, calcium channel blockers	C09D	Angiotensin ii antagonists, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00177	C09DA03	C09DA	Angiotensin ii antagonists, diuretics	C09D	Angiotensin ii antagonists, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00177	C09CA03	C09CA	Angiotensin ii antagonists, plain	C09C	Angiotensin ii antagonists, plain	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00177	C09DX04	C09DX	Angiotensin ii antagonists, other combinations	C09D	Angiotensin ii antagonists, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00178	C10BX04	C10BX	Hmg coa reductase inhibitors, other combinations	C10B	Lipid modifying agents, combinations	C10	Lipid modifying agents	C	Cardiovascular system
DB00178	C09AA05	C09AA	Ace inhibitors, plain	C09A	Ace inhibitors, plain	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00178	C10BX06	C10BX	Hmg coa reductase inhibitors, other combinations	C10B	Lipid modifying agents, combinations	C10	Lipid modifying agents	C	Cardiovascular system
DB00178	C09BA05	C09BA	Ace inhibitors, diuretics	C09B	Ace inhibitors, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00178	C09BB07	C09BB	Ace inhibitors, calcium channel blockers	C09B	Ace inhibitors, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00178	C09BB05	C09BB	Ace inhibitors, calcium channel blockers	C09B	Ace inhibitors, combinations	C09	Agents acting on the renin-angiotensin system	C	Cardiovascular system
DB00179	L01XX10	L01XX	Other antineoplastic agents	L01X	Other antineoplastic agents	L01	Antineoplastic agents	L	Antineoplastic, immunomodulating agents
