drug_1	drug_2
DB02530	DB00695
DB00557	DB01069
DB00182	DB00264
DB01233	DB00976
DB00761	DB00489
DB00540	DB00953
DB00904	DB00570
DB00285	DB00480
DB00252	DB00186
DB00252	DB00455
DB00482	DB01215
DB00590	DB00962
DB01241	DB01050
DB01165	DB00806
DB00381	DB00564
DB00285	DB00580
DB00695	DB00947
DB00544	DB00186
DB00310	DB00448
DB00544	DB00455
DB00408	DB00425
DB01062	DB00533
DB00196	DB00246
DB00472	DB00842
DB00927	DB00570
DB00328	DB00425
DB00328	DB01198
DB00575	DB00598
DB00335	DB01006
DB00623	DB00285
DB00951	DB00244
DB00996	DB01224
DB00196	DB00549
DB01009	DB00244
DB00281	DB00370
DB01001	DB00204
DB00850	DB00973
DB01023	DB00399
DB00196	DB00328
DB01215	DB00966
DB00972	DB01050
DB01001	DB01069
DB00661	DB00331
DB00477	DB01069
DB00557	DB00246
DB00557	DB00710
DB00339	DB00213
DB00524	DB00727
DB00630	DB00960
DB00630	DB01132
DB01009	DB01069
DB00448	DB01012
DB00630	DB00996
DB00630	DB00695
DB00316	DB00863
DB00972	DB00264
DB00316	DB00481
DB01611	DB01233
DB00972	DB01198
DB01101	DB00412
DB00281	DB00938
DB00843	DB01016
DB01149	DB00481
DB01149	DB00863
DB00727	DB01105
DB00484	DB00806
DB00341	DB00976
DB00231	DB00425
DB00454	DB00580
DB00945	DB00246
DB01069	DB00440
DB01224	DB00697
DB01068	DB00571
DB00564	DB00745
DB01068	DB00818
DB01023	DB00398
DB00321	DB00916
DB00749	DB00246
DB00182	DB00745
DB00916	DB00641
DB01224	DB00425
DB01050	DB00398
DB00564	DB01165
DB00904	DB01291
DB00395	DB01233
DB01050	DB00285
DB00712	DB00641
DB01215	DB00784
DB00813	DB00950
DB00780	DB01224
DB01193	DB00482
DB00338	DB00398
DB00264	DB00580
DB00281	DB00678
DB00404	DB01233
DB00808	DB00863
DB00813	DB00458
DB00813	DB01181
DB00927	DB00619
DB00341	DB00619
DB00690	DB01224
DB01136	DB00287
DB00761	DB00973
DB13919	DB00533
DB13919	DB00268
DB00745	DB00268
DB00264	DB00213
DB00612	DB00884
DB00927	DB00776
DB01193	DB01223
DB00264	DB00806
DB00264	DB00850
DB00264	DB00724
DB00927	DB01233
DB00749	DB00897
DB01077	DB00884
DB00734	DB00697
DB01224	DB01591
DB00381	DB00270
DB00863	DB00231
DB00222	DB01233
DB00575	DB00697
DB00813	DB00863
DB00813	DB00481
DB00734	DB00909
DB00734	DB01198
DB00863	DB01033
DB00537	DB00745
DB00575	DB00425
DB00575	DB00909
DB00590	DB01173
DB00564	DB01029
DB00481	DB00976
DB00186	DB01238
DB00813	DB01062
DB00215	DB00966
DB00993	DB00448
DB00191	DB00761
DB00575	DB00448
DB00313	DB00196
DB00381	DB01128
DB00924	DB00338
DB00924	DB00904
DB01077	DB00338
DB00798	DB01050
DB00564	DB00433
DB00481	DB01254
DB01029	DB00967
DB00590	DB00455
DB00321	DB00472
DB00590	DB00186
DB00208	DB00214
DB00281	DB00641
DB00623	DB00996
DB00623	DB00695
DB00370	DB00433
DB01059	DB00213
DB00370	DB01032
DB00454	DB00761
DB01069	DB00481
DB00945	DB01128
DB00356	DB00476
DB01165	DB00967
DB01233	DB01032
DB01162	DB00425
DB00213	DB00820
DB00381	DB00656
DB00321	DB00962
DB00513	DB00425
DB00557	DB01043
DB01156	DB00210
DB00953	DB01198
DB00993	DB00476
DB01115	DB00398
DB01165	DB00480
DB00571	DB00412
DB00571	DB00216
DB00571	DB00998
DB00761	DB00208
DB00557	DB01267
DB01016	DB01062
DB00938	DB00489
DB00996	DB00440
DB01023	DB00737
DB00678	DB00897
DB00379	DB00641
DB00524	DB00559
DB00243	DB00973
DB01043	DB00669
DB00991	DB01291
DB00737	DB00656
DB00316	DB00763
DB00734	DB00317
DB01069	DB00289
DB00461	DB01129
DB01115	DB01124
DB00669	DB00246
DB00590	DB00282
DB13919	DB00571
DB13919	DB00818
DB00370	DB00938
DB01001	DB01006
DB00316	DB01110
DB01062	DB00776
DB00341	DB00938
DB00448	DB00287
DB00927	DB01105
DB00425	DB00323
DB00335	DB00863
DB00863	DB00246
DB00819	DB01067
DB01001	DB01041
DB00425	DB00909
DB00425	DB01198
DB00853	DB00425
DB00555	DB00323
DB00945	DB00683
DB00806	DB01012
DB00533	DB00710
DB01204	DB01165
DB00182	DB00734
DB00962	DB01238
DB00533	DB00246
DB01006	DB01204
DB00215	DB00555
DB00281	DB01012
DB00341	DB00370
DB00897	DB00399
DB00502	DB00399
DB00916	DB00806
DB00897	DB00317
DB00557	DB09389
DB00927	DB00196
DB01062	DB00669
DB00196	DB01101
DB01068	DB00540
DB01068	DB09389
DB00695	DB00697
DB00734	DB00659
DB01001	DB01115
DB00571	DB00533
DB00986	DB00338
DB00231	DB00580
DB00993	DB00545
DB00850	DB00231
DB13919	DB00524
DB13919	DB00264
DB00215	DB00313
DB00555	DB00761
DB00972	DB01068
DB00477	DB00313
DB00661	DB00884
DB00181	DB00884
DB01039	DB00695
DB00695	DB00376
DB01188	DB00537
DB00695	DB00440
DB00690	DB01050
DB00950	DB00727
DB01136	DB01132
DB01156	DB00317
DB00545	DB01020
DB01136	DB00996
DB01136	DB00695
DB01224	DB00884
DB00843	DB00990
DB00423	DB00338
DB00213	DB00530
DB01062	DB00820
DB00339	DB00381
DB00408	DB00863
DB01224	DB00412
DB01224	DB00216
DB01224	DB00998
DB00222	DB00897
DB00321	DB01039
DB00804	DB00268
DB01156	DB00951
DB00440	DB00412
DB00321	DB00549
DB00924	DB00313
DB00455	DB01267
DB00842	DB00884
DB00630	DB00991
DB00630	DB00842
DB00557	DB01033
DB00745	DB00399
DB00213	DB00853
DB00571	DB00967
DB01097	DB00761
DB00843	DB00401
DB00252	DB01595
DB00531	DB00250
DB00861	DB01050
DB00972	DB00745
DB00196	DB01224
DB00412	DB01012
DB00476	DB00480
DB00277	DB00214
DB00281	DB00216
DB00482	DB00399
DB00281	DB00412
DB01156	DB00669
DB00215	DB00214
DB00316	DB00435
DB00924	DB01162
DB00448	DB00737
DB00481	DB01198
DB00745	DB00794
DB01193	DB00808
DB00927	DB00983
DB01136	DB00924
DB00477	DB00455
DB00749	DB00973
DB00813	DB00285
DB01217	DB01136
DB00575	DB00412
DB00472	DB00850
DB00448	DB00289
DB00813	DB00502
DB00458	DB01165
DB00972	DB00186
DB00472	DB00806
DB00975	DB00448
DB00887	DB00423
DB00927	DB01132
DB00316	DB01088
DB01117	DB00973
DB00590	DB00910
DB00804	DB00669
DB00489	DB00412
DB00531	DB01069
DB00678	DB00990
DB01097	DB00231
DB00590	DB00196
DB01069	DB00214
DB00472	DB00559
DB00433	DB00710
DB00557	DB01162
DB01039	DB00737
DB00264	DB01059
DB00564	DB01241
DB00564	DB00798
DB13919	DB01101
DB00843	DB01132
DB00244	DB00641
DB01291	DB00476
DB00960	DB00533
DB00999	DB00328
DB00476	DB00918
DB00999	DB00549
DB00999	DB00962
DB01233	DB00938
DB00564	DB00457
DB00181	DB00749
DB00213	DB01101
DB00842	DB01020
DB01039	DB00734
DB01039	DB00953
DB01136	DB01238
DB00813	DB01291
DB00191	DB01224
DB00909	DB00641
DB00960	DB00973
DB00186	DB00631
DB00950	DB01204
DB00482	DB00208
DB00966	DB01012
DB00537	DB01162
DB00695	DB01275
DB00472	DB00425
DB00924	DB00691
DB00472	DB00909
DB00544	DB00641
DB00904	DB00841
DB01029	DB00820
DB01068	DB00323
DB00806	DB00476
DB01165	DB00282
DB01129	DB00243
DB00338	DB00619
DB00341	DB00222
DB00341	DB01067
DB00404	DB00475
DB00598	DB00678
DB00843	DB00598
DB00737	DB00571
DB00331	DB00440
DB00328	DB01162
DB00440	DB00300
DB01016	DB00461
DB00842	DB00910
DB00897	DB00990
DB00537	DB01043
DB00945	DB00281
DB00395	DB00804
DB00575	DB00580
DB00641	DB00947
DB00448	DB01062
DB00804	DB01129
DB01115	DB00549
DB00727	DB00549
DB00404	DB00804
DB00945	DB00540
DB00448	DB00905
DB00678	DB00399
DB00455	DB00842
DB00455	DB00991
DB00737	DB00976
DB00531	DB00214
DB00196	DB00884
DB00270	DB01233
DB00794	DB00697
DB00341	DB00399
DB01059	DB00973
DB00695	DB00745
DB00448	DB00300
DB00975	DB00480
DB00842	DB00246
DB00196	DB00683
DB00482	DB00250
DB00938	DB00559
DB01001	DB00285
DB00887	DB00806
DB01110	DB00433
DB01193	DB00268
DB01193	DB00533
DB01006	DB00737
DB01110	DB01069
DB00252	DB00598
DB00310	DB00412
DB00461	DB00966
DB00794	DB00966
DB00690	DB00557
DB00813	DB00884
DB00316	DB00631
DB00819	DB00331
DB00393	DB00761
DB00969	DB00669
DB00661	DB00480
DB00884	DB01088
DB01068	DB00313
DB00482	DB01198
DB00482	DB00909
DB00313	DB00282
DB00482	DB00425
DB00927	DB01097
DB00813	DB00763
DB13919	DB00737
DB06700	DB00973
DB00727	DB00213
DB01136	DB00991
DB01136	DB00842
DB00472	DB01129
DB00404	DB01006
DB00813	DB00455
DB00863	DB00659
DB00813	DB00186
DB00669	DB00918
DB01193	DB00455
DB01059	DB01129
DB00285	DB00691
DB01241	DB00425
DB00727	DB01165
DB00612	DB00678
DB00575	DB01233
DB00331	DB00489
DB00843	DB00853
DB00999	DB00897
DB00222	DB00264
DB00557	DB00918
DB01006	DB01165
DB00277	DB00924
DB00999	DB00412
DB00999	DB00216
DB00448	DB01033
DB00482	DB00967
DB00537	DB00631
DB00938	DB00884
DB09389	DB00550
DB00285	DB00910
DB00975	DB00863
DB00316	DB01101
DB00557	DB00916
DB00557	DB00524
DB00557	DB00264
DB00575	DB00749
DB01068	DB00559
DB01156	DB01215
DB00843	DB00727
DB00423	DB00641
DB00477	DB01224
DB00794	DB00734
DB00549	DB01198
DB01241	DB00967
DB00993	DB00215
DB00661	DB01006
DB09389	DB00425
DB00630	DB00938
DB00564	DB00973
DB01069	DB01162
DB00448	DB00216
DB00316	DB01233
DB00927	DB01088
DB00924	DB01105
DB00695	DB00737
DB01611	DB00448
DB00861	DB00264
DB00612	DB00590
DB00252	DB00966
DB00472	DB01020
DB00282	DB00806
DB00884	DB00697
DB00264	DB00761
DB00540	DB00820
DB00575	DB00818
DB00575	DB00571
DB00564	DB00842
DB00564	DB00991
DB00246	DB06700
DB00927	DB00282
DB00927	DB00213
DB00818	DB00897
DB00264	DB00726
DB00537	DB06700
DB00967	DB00973
DB00482	DB00246
DB00482	DB00710
DB01165	DB00809
DB00484	DB00214
DB00472	DB00216
DB00472	DB00412
DB01611	DB00555
DB00328	DB00448
DB00950	DB00806
DB00726	DB00425
DB00951	DB00300
DB01026	DB00656
DB00557	DB00379
DB00975	DB00533
DB00481	DB00691
DB01181	DB00863
DB01020	DB00214
DB00297	DB01068
DB00423	DB00820
DB00537	DB00975
DB00448	DB01589
DB01006	DB00619
DB01016	DB00399
DB00945	DB01009
DB00945	DB00920
DB00945	DB01026
DB00853	DB00973
DB01001	DB00983
DB00829	DB01173
DB00454	DB00331
DB00455	DB00243
DB00381	DB00996
DB00381	DB00695
DB00213	DB00710
DB01023	DB00461
DB01039	DB00580
DB00590	DB00734
DB00887	DB00412
DB01165	DB00481
DB00454	DB00540
DB00262	DB00370
DB01165	DB00863
DB00829	DB01097
DB00450	DB00761
DB00661	DB01591
DB00482	DB00656
DB01068	DB00927
DB00829	DB00967
DB00695	DB01241
DB00213	DB01223
DB00381	DB06700
DB01233	DB00842
DB00370	DB00659
DB01233	DB00991
DB01165	DB01033
DB01136	DB00975
DB00335	DB00196
DB00379	DB00966
DB00297	DB00472
DB00537	DB01039
DB00945	DB00575
DB00213	DB00533
DB00335	DB00947
DB01224	DB01267
DB01242	DB00966
DB01156	DB01020
DB00316	DB00564
DB01217	DB00425
DB01217	DB00904
DB00761	DB01020
DB00211	DB00641
DB00210	DB00317
DB01115	DB00863
DB00331	DB00991
DB01115	DB00481
DB01136	DB00763
DB01001	DB00863
DB00191	DB00571
DB01001	DB00481
DB00882	DB00669
DB00222	DB00370
DB00341	DB00843
DB00761	DB01223
DB00404	DB00661
DB00808	DB00244
DB00270	DB00863
DB00270	DB00481
DB00181	DB00448
DB01128	DB01115
DB13919	DB00580
DB00310	DB00433
DB00310	DB01032
DB01001	DB00910
DB13919	DB00749
DB01009	DB00285
DB01156	DB00398
DB00555	DB00214
DB00477	DB00533
DB00215	DB00976
DB00481	DB01088
DB00264	DB01117
DB00252	DB00422
DB00484	DB00481
DB00484	DB00863
DB00630	DB00379
DB00630	DB00524
DB00630	DB00264
DB00630	DB00916
DB00502	DB01062
DB00313	DB00976
DB00313	DB01165
DB13919	DB00564
DB00996	DB00952
DB01115	DB00820
DB00999	DB00550
DB01050	DB00863
DB01006	DB00186
DB00945	DB01162
DB00612	DB00544
DB00612	DB00472
DB00341	DB01068
DB00196	DB00270
DB00231	DB01267
DB01020	DB00990
DB00404	DB00489
DB00727	DB00231
DB00277	DB00697
DB00734	DB01162
DB00341	DB00300
DB01215	DB00580
DB00915	DB00863
DB00661	DB00897
DB00915	DB00481
DB00863	DB01194
DB01156	DB00695
DB01156	DB00996
DB00887	DB00808
DB00335	DB01129
DB01026	DB00300
DB01009	DB01059
DB00641	DB00398
DB00641	DB00710
DB00641	DB00246
DB00661	DB01173
DB00339	DB00335
DB01193	DB01115
DB00321	DB01023
DB00575	DB01162
DB00252	DB00794
DB00950	DB00282
DB00950	DB00213
DB00531	DB00641
DB00794	DB00973
DB00950	DB01165
DB01233	DB00905
DB00555	DB00571
DB00555	DB00818
DB01215	DB01097
DB01026	DB00571
DB01097	DB00966
DB00829	DB00594
DB00745	DB01591
DB01611	DB00370
DB00590	DB00897
DB01611	DB00350
DB01156	DB00297
DB01156	DB00887
DB00270	DB00476
DB00422	DB00282
DB00472	DB00268
DB00950	DB01238
DB00321	DB01062
DB00370	DB00952
DB01001	DB00575
DB01001	DB01068
DB01115	DB00818
DB00983	DB00533
DB01023	DB00950
DB00927	DB00973
DB01023	DB00813
DB00726	DB00641
DB01136	DB00669
DB00813	DB01012
DB00938	DB00289
DB01039	DB01162
DB00945	DB00499
DB00745	DB01198
DB00945	DB00712
DB00999	DB00806
DB00924	DB00231
DB00196	DB01291
DB00924	DB00853
DB00370	DB01589
DB00540	DB01020
DB00370	DB00545
DB00338	DB01062
DB00393	DB00338
DB00313	DB06700
DB00537	DB00481
DB00537	DB00863
DB01050	DB01069
DB00924	DB01129
DB00264	DB01182
DB00395	DB00999
DB01050	DB00842
DB00537	DB01069
DB01067	DB00737
DB00316	DB00455
DB00316	DB00186
DB00404	DB00999
DB01050	DB00991
DB00475	DB00425
DB00557	DB00734
DB01043	DB00331
DB01068	DB00580
DB01029	DB00268
DB01029	DB00533
DB01029	DB00818
DB00726	DB00776
DB01029	DB00571
DB00829	DB00214
DB00250	DB00999
DB00829	DB00371
DB01006	DB00370
DB00537	DB00244
DB00590	DB00331
DB00455	DB00594
DB00335	DB00289
DB01005	DB00213
DB01068	DB00300
DB00564	DB00843
DB00564	DB00590
DB00196	DB01020
DB00335	DB00214
DB00531	DB00317
DB00215	DB00973
DB00313	DB00973
DB00661	DB01101
DB00455	DB01198
DB00455	DB00909
DB00281	DB00423
DB00761	DB00669
DB00381	DB00454
DB00533	DB00619
DB00454	DB00282
DB00448	DB00540
DB00316	DB00423
DB00557	DB00282
DB00916	DB01162
DB00482	DB00950
DB00472	DB00317
DB00863	DB00619
DB00482	DB00813
DB00215	DB00850
DB00215	DB00806
DB01149	DB01238
DB00381	DB01233
DB00454	DB00213
DB01173	DB00481
DB00915	DB00927
DB01001	DB00191
DB00381	DB01043
DB00191	DB00962
DB00945	DB00884
DB00350	DB00571
DB00341	DB00448
DB00472	DB09389
DB00524	DB00350
DB00482	DB01165
DB00458	DB00331
DB00181	DB00924
DB01233	DB01291
DB00661	DB00962
DB00661	DB00549
DB01204	DB00570
DB00481	DB01194
DB00969	DB00966
DB00502	DB01132
DB00425	DB00659
DB00945	DB00724
DB01069	DB01012
DB00282	DB01129
DB00887	DB00398
DB00661	DB00952
DB00661	DB01149
DB00338	DB00910
DB00472	DB00669
DB00181	DB00863
DB00181	DB00481
DB00850	DB00376
DB00341	DB01595
DB01165	DB01117
DB00335	DB00724
DB00458	DB01204
