drug_1	drug_2
DB00072	DB00002
DB00966	DB00999
DB06285	DB06643
DB01076	DB01132
DB00207	DB00798
DB00635	DB00959
DB00887	DB06292
DB00051	DB00563
DB01229	DB00480
DB01041	DB00860
DB00112	DB00928
DB01229	DB01590
DB00242	DB00213
DB00530	DB00762
DB00877	DB00002
DB00068	DB01076
DB00853	DB00112
DB01220	DB00994
DB06603	DB00928
DB00448	DB06616
DB01118	DB00264
DB00673	DB00904
DB01101	DB06616
DB01394	DB01076
DB08875	DB00853
DB00945	DB00852
DB00455	DB00443
DB00105	DB00227
DB06603	DB01590
DB08907	DB00331
DB00316	DB11699
DB09119	DB00331
DB01268	DB00480
DB06209	DB00006
DB00530	DB01611
DB01394	DB01026
DB01394	DB00207
DB06243	DB00945
DB01394	DB00277
DB01394	DB00091
DB01394	DB01211
DB09119	DB00641
DB00673	DB06717
DB00683	DB06717
DB01076	DB09279
DB00264	DB04861
DB00563	DB08904
DB00264	DB01105
DB00497	DB00673
DB01262	DB00307
DB01590	DB00997
DB01229	DB00619
DB04572	DB00262
DB04845	DB06589
DB00482	DB01628
DB00218	DB01075
DB01024	DB00864
DB01128	DB06287
DB00482	DB00744
DB09083	DB00335
DB01611	DB02546
DB00480	DB00002
DB01024	DB00635
DB00688	DB00635
DB01026	DB01234
DB00864	DB05521
DB00091	DB05521
DB09080	DB01409
DB00712	DB00316
DB01156	DB06413
DB00904	DB06151
DB01128	DB00481
DB13919	DB00437
DB00178	DB00437
DB00811	DB00987
DB01238	DB00334
DB00773	DB06243
DB00563	DB05679
DB00073	DB00552
DB08895	DB01076
DB06650	DB00480
DB00361	DB06589
DB01234	DB01284
DB01268	DB06589
DB00515	DB02546
DB06809	DB00928
DB00022	DB00008
DB01206	DB00112
DB01590	DB01006
DB06292	DB01045
DB04106	DB00112
DB00669	DB00788
DB06809	DB00531
DB00860	DB00571
DB00480	DB01590
DB02546	DB00853
DB01590	DB02546
DB02546	DB06287
DB00877	DB02546
DB00073	DB09054
DB06650	DB09054
DB01590	DB09054
DB09054	DB01073
DB01024	DB00860
DB01590	DB01101
DB08875	DB00412
DB00421	DB00999
DB00982	DB00530
DB06603	DB01006
DB01229	DB00531
DB00497	DB01183
DB01104	DB00370
DB01238	DB01175
DB01076	DB01261
DB00575	DB00996
DB01394	DB04854
DB06813	DB00188
DB00813	DB00598
DB00187	DB00598
DB00187	DB00813
DB06209	DB00758
DB00230	DB00193
DB00476	DB00193
DB04572	DB00531
DB00864	DB00087
DB01001	DB01409
DB01001	DB00986
DB00051	DB00635
DB01041	DB00480
DB00073	DB01590
DB03128	DB00112
DB00325	DB00112
DB00441	DB01611
DB06813	DB01248
DB00338	DB00758
DB00758	DB00213
DB09078	DB00851
DB00515	DB00570
DB00295	DB00921
DB09078	DB00112
DB01216	DB00820
DB00947	DB00188
DB00531	DB00099
DB00188	DB00099
DB00736	DB00758
DB00448	DB00758
DB00030	DB01261
DB06825	DB00717
DB00007	DB00624
DB06809	DB00631
DB00851	DB00112
DB00875	DB00502
DB00783	DB00788
DB00515	DB06589
DB00209	DB01591
DB06285	DB00481
DB11656	DB00213
DB04845	DB00642
DB00635	DB00563
DB06403	DB00820
DB08931	DB00203
DB00313	DB00279
DB00673	DB00889
DB00480	DB00398
DB00480	DB00112
DB06589	DB01590
DB01083	DB01105
DB00877	DB00563
DB11817	DB00563
DB00819	DB06151
DB00514	DB00313
DB09045	DB00046
DB00530	DB08911
DB01248	DB08911
DB00642	DB08911
DB01217	DB01590
DB01217	DB00530
DB01217	DB00398
DB00544	DB00910
DB00661	DB12010
DB00264	DB00310
DB00313	DB06287
DB06813	DB00544
DB00351	DB00321
DB08828	DB00412
DB00959	DB00860
DB00747	DB00843
DB00047	DB00046
DB06650	DB09053
DB06589	DB00112
DB06273	DB00959
DB00361	DB00531
DB01118	DB12364
DB00441	DB08911
DB00398	DB01101
DB00073	DB06603
DB06268	DB00203
DB06268	DB00820
DB00480	DB00987
DB00682	DB00227
DB06268	DB01045
DB06268	DB00503
DB01212	DB00916
DB00398	DB00928
DB00008	DB00945
DB00398	DB01590
DB01151	DB00181
DB02546	DB00112
DB00877	DB01611
DB00230	DB00476
DB08881	DB05239
DB00207	DB00860
DB00105	DB00041
DB01590	DB00619
DB00008	DB00300
DB01129	DB05239
DB08908	DB00945
DB09292	DB00177
DB00412	DB08896
DB09302	DB01076
DB04868	DB00619
DB00983	DB00938
DB00005	DB06643
DB00367	DB00302
DB00367	DB00784
DB01590	DB00675
DB00295	DB00316
DB00234	DB00215
DB08889	DB06603
DB00990	DB00112
DB00199	DB06228
DB12010	DB01132
DB00682	DB12010
DB01001	DB01656
DB01590	DB06663
DB00254	DB00002
DB06603	DB00987
DB08871	DB01101
DB01026	DB06176
DB06176	DB01045
DB06287	DB00002
DB00977	DB00367
DB01229	DB00331
DB01045	DB12010
DB08912	DB08911
DB06809	DB00112
DB06589	DB02546
DB00653	DB00281
DB06218	DB01202
DB00503	DB06209
DB00273	DB00331
DB01083	DB00331
DB00203	DB00820
DB06809	DB01262
DB00841	DB00381
DB12010	DB00390
DB04106	DB00851
DB00105	DB00851
DB06262	DB00545
DB00398	DB00544
DB00559	DB00770
DB08882	DB00331
DB08907	DB01045
DB08871	DB00072
DB01242	DB01175
DB01277	DB00884
DB00773	DB06809
DB01229	DB12483
DB00388	DB00455
DB06774	DB00281
DB06774	DB00193
DB09079	DB04951
DB00531	DB00724
DB01118	DB01017
DB00343	DB08860
DB08877	DB01101
DB00091	DB01254
DB00945	DB01017
DB00945	DB00990
DB01276	DB01132
DB00203	DB00624
DB06603	DB08877
DB01229	DB00445
DB00215	DB08868
DB00472	DB08868
DB00285	DB08868
DB00550	DB00389
DB06589	DB08911
DB00947	DB08875
DB01076	DB01234
DB01254	DB00112
DB01394	DB00437
DB00419	DB00073
DB06589	DB00072
DB00983	DB01222
DB00370	DB00715
DB00437	DB06372
DB00624	DB00630
DB00105	DB00188
DB12248	DB01409
DB01017	DB00112
DB00642	DB00317
DB01098	DB00758
DB00338	DB08873
DB01024	DB01590
DB00264	DB08893
DB01151	DB08893
DB09053	DB01234
DB00016	DB08894
DB00986	DB01400
DB06290	DB00864
DB06290	DB00091
DB08893	DB00706
DB00515	DB09074
DB11560	DB00437
DB06695	DB00213
DB01611	DB01101
DB00243	DB00222
DB01076	DB00222
DB08881	DB00112
DB01262	DB01254
DB01327	DB01211
DB08816	DB00091
DB00012	DB00910
DB01590	DB01611
DB11560	DB04854
DB06655	DB00222
DB01204	DB00242
DB01268	DB06287
DB00398	DB00762
DB01115	DB00177
DB00073	DB09053
DB01026	DB09049
DB00243	DB04855
DB08881	DB00002
DB00531	DB08871
DB06287	DB00331
DB00986	DB05039
DB08816	DB06209
DB01045	DB09049
DB01216	DB00706
DB00635	DB00244
DB08828	DB00877
DB05294	DB00863
DB00338	DB05294
DB00020	DB00928
DB05294	DB00683
DB00394	DB00571
DB00243	DB00331
DB00343	DB00381
DB01611	DB00041
DB05294	DB00331
DB01234	DB00099
DB00497	DB00704
DB00695	DB00214
DB00641	DB00331
DB05294	DB00390
DB00993	DB00916
DB00051	DB00916
DB08875	DB05812
DB01118	DB00489
DB00563	DB00307
DB00959	DB00736
DB05294	DB01590
DB00297	DB00668
DB00398	DB08871
DB04967	DB00853
DB00924	DB00788
DB00773	DB01101
DB00208	DB00945
DB00470	DB01183
DB00531	DB00188
DB08877	DB00990
DB00531	DB00762
DB08881	DB01590
DB08881	DB06287
DB08899	DB00990
DB08899	DB01217
DB08899	DB00947
DB08828	DB00853
DB00644	DB01248
DB00470	DB00316
DB00073	DB00034
DB00334	DB06288
DB06285	DB00884
DB08881	DB01097
DB00783	DB00367
DB06702	DB00286
DB06237	DB00727
DB00583	DB01076
DB00471	DB00635
DB00284	DB00331
DB09045	DB00331
DB01026	DB09053
DB11595	DB00112
DB09038	DB01045
DB01032	DB09038
DB00564	DB05521
DB00252	DB05521
DB02638	DB00368
DB00480	DB09054
DB05271	DB01235
DB00530	DB00331
DB01254	DB00650
DB06655	DB01306
DB05812	DB01045
DB00316	DB00331
DB08873	DB06210
DB06210	DB05521
DB00706	DB01126
DB09079	DB01248
DB00515	DB00997
DB00264	DB09039
DB01076	DB08860
DB01098	DB08860
DB00515	DB00112
DB06292	DB06335
DB08875	DB00441
DB08893	DB00390
DB09038	DB00331
DB01128	DB06699
DB06655	DB01276
DB00338	DB00083
DB00776	DB09119
DB00882	DB00331
DB01026	DB09079
DB00863	DB12010
DB00073	DB11581
DB00860	DB05812
DB00367	DB00331
DB00334	DB00472
DB00398	DB06287
DB00818	DB00067
DB00107	DB01282
DB06290	DB00641
DB06290	DB01076
DB04868	DB08877
DB01104	DB00740
DB05578	DB01248
DB00176	DB00390
DB00584	DB00112
DB08910	DB01026
DB00564	DB08910
DB00683	DB00454
DB00480	DB00908
DB00039	DB00087
DB00559	DB01088
DB08828	DB00441
DB08907	DB00390
DB01255	DB00472
DB00335	DB09026
DB01099	DB00196
DB06589	DB00002
DB08907	DB00091
DB01327	DB00207
DB00987	DB00099
DB09302	DB01039
DB09302	DB00973
DB01098	DB12010
DB12010	DB00641
DB00292	DB00813
DB01268	DB06791
DB01406	DB08877
DB08907	DB01016
DB00338	DB00213
DB00995	DB00877
DB00563	DB00650
DB08889	DB06176
DB00544	DB08911
DB08816	DB00758
DB01001	DB00727
DB00178	DB00758
DB01268	DB00683
DB00563	DB08895
DB08893	DB01591
DB08910	DB01211
DB00983	DB04465
DB08885	DB00650
DB00704	DB00813
DB00480	DB06176
DB00682	DB00498
DB00002	DB09074
DB01045	DB09053
DB01217	DB00007
DB00370	DB01175
DB00563	DB11767
DB08881	DB01045
DB08881	DB00390
DB06441	DB08816
DB08820	DB09280
DB09045	DB00222
DB01045	DB09079
DB01129	DB08828
DB08828	DB00196
DB01167	DB08828
DB00441	DB00608
DB00682	DB01109
DB01233	DB00818
DB08877	DB00928
DB00959	DB00292
DB00813	DB00281
DB11581	DB01234
DB01248	DB00331
DB01204	DB00987
DB00530	DB11363
DB00688	DB00213
DB01024	DB00213
DB09075	DB00945
DB00441	DB00724
DB00065	DB06674
DB00381	DB13919
DB00966	DB00310
DB00569	DB00945
DB00295	DB00813
DB08907	DB00641
DB00678	DB00650
DB01016	DB00331
DB00441	DB08877
DB01069	DB00186
DB01115	DB00966
DB00787	DB00188
DB01611	DB00811
DB00009	DB01270
DB08881	DB08875
DB05015	DB00541
DB00398	DB00997
DB00715	DB05521
DB00966	DB01076
DB00631	DB01204
DB00605	DB00987
DB08885	DB01101
DB08881	DB00697
DB00047	DB01261
DB00987	DB00331
DB00575	DB01183
DB08881	DB01418
DB06441	DB06209
DB00688	DB00959
DB09074	DB00853
DB00541	DB00987
DB11817	DB00390
DB04876	DB00030
DB00441	DB01234
DB00624	DB06699
DB00959	DB01222
DB04868	DB00022
DB05812	DB01234
DB00877	DB00928
DB00107	DB00429
DB01068	DB01320
DB01166	DB00641
DB01166	DB01098
DB00381	DB00275
DB01043	DB01175
DB08907	DB06292
DB00864	DB01590
DB00065	DB00993
DB08828	DB00987
DB00328	DB11560
DB11560	DB00788
DB04868	DB00570
DB00187	DB00818
DB01101	DB00390
DB00016	DB09146
DB00635	DB01656
DB00273	DB00186
DB00043	DB00860
DB00313	DB01101
DB00683	DB00818
DB00264	DB00722
DB00695	DB00988
DB00441	DB00820
DB00860	DB06372
DB00620	DB00297
DB00822	DB00853
DB00586	DB00683
DB00531	DB00020
DB11817	DB01045
DB00515	DB00531
DB00653	DB00968
DB01238	DB00745
DB00734	DB00745
DB08899	DB01167
DB08899	DB01241
DB00654	DB00373
DB01109	DB00945
DB01098	DB00177
DB00063	DB08816
DB01098	DB09279
DB11817	DB00196
DB11817	DB01026
