DCU_ID	DOSE	ADMINISTRATION	DISEASE	EFFICACY	EFFECT_TYPE	STAGE	SOURCE	ICD10_S	ICD10_L	EFFECTS_T	TOXICITY	OVERALL
DCU06283	Chlordiazepoxide: 10 mg; Citalopram:  20 mg; Pioglitazone: 15 mg	null	Major Depressive Disorder	Efficacious	Unclear	Phase 2/3	NCT01109030	F32.3 Major depressive disorder, single episode, severe with psychotic features	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode; F32.3 Major depressive disorder, single episode, severe with psychotic features	Frequency of early improvement, response (week 6), and remission was significantly higher in the pioglitazone group (95%, 95%, 45%, respectively) than in the placebo (30%, 40%, 15% respectively) group (P<0.001, <0.001, 0.04, respectively).	null	more effective than placebo group
DCU06293	Bupivacaine: 0.125% ; Hydromorphone: 6 mcg/ml	null	Postoperative Ileus	Non-efficacious	Unclear	Phase 3	NCT00600158	K56.5 Intestinal adhesions [bands] with obstruction	K00-K93   Diseases of the digestive system; K55-K63  Other diseases of intestines; K56  Paralytic ileus and intestinal obstruction without hernia; K56.5 Intestinal adhesions [bands] with obstruction	null	null	null
DCU06302	null	null	Hepatitis C, Chronic	Efficacious	Unclear	Phase 2	NCT00963885	B18.2 Chronic viral hepatitis C	A00-B99  Certain infectious and parasitic diseases; B15-B19  Viral hepatitis; B18  Chronic viral hepatitis; B18.2 Chronic viral hepatitis C	null	null	null
DCU06305	null	null	Complicated Intra-Abdominal Infections	Efficacious	Unclear	Phase 2	NCT00752219	K65.1 Peritoneal abscess	K00-K93   Diseases of the digestive system; K65-K67  Diseases of peritoneum; K65  Peritonitis; K65.1 Peritoneal abscess	null	null	null
DCU06323	Aspirin: 75 mg; Lenalidomide: 10 mg; Melphalan: 0.18 mg/kg; Prednisone: 2 mg/kg	null	Newly Diagnosed Multiple Myeloma	Efficacious	Unclear	Phase 3	NCT00405756	C90.0 Multiple myeloma	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms; C90.0 Multiple myeloma	null	null	null
DCU06342	Carvedilol: 6.25-25 mg; Enalapril: 2.5-10 mg	null	Acute Myeloid Leukemia	Efficacious	Unclear	Phase 3	NCT01110824	C92.00 Acute myeloid leukemia	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C92  Myeloid leukaemia; C92.00 Acute myeloid leukemia	null	null	null
DCU06346	Quetiapine fumarate: 300 mg; Venlafaxine: 225 mg	null	Major Depressive Disorder	Efficacious	Unclear	Phase 3	NCT00789854	F32.3 Major depressive disorder, single episode, severe with psychotic features	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode; F32.3 Major depressive disorder, single episode, severe with psychotic features	null	null	null
DCU06351	Bevacizumab: 10 mg/kg; Interferon alfa-2a: 9MU	null	Metastatic Renal Cell Carcinoma	Non-efficacious	Unclear	Phase 2	NCT00619268	C64 Malignant neoplasm of kidney, except renal pelvis	C00-D48  Neoplasms; C64-C68  Malignant neoplasms of urinary tract; C64  Malignant neoplasm of kidney, except renal pelvis	null	null	null
DCU06359	Emtricitabine: 200 mg; Tenofovir: 300 mg; Efavirenz: 600 mg	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00112047	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06361	null	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00115648	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06362	Nevirapine: 200 mg; Zidovudine	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00409591	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06381	Ibuprofen: 280 mg; Telcagepant: 400 mg	null	Migraine	Need further study	Unclear	Phase 2	NCT00758836	G43 Migraine	G00-G99  Diseases of the nervous system; G40-G47  Episodic and paroxysmal disorders; G43  Migraine	null	null	null
DCU06392	Colchicine: 0.6 mg; Ritonavir: 100 mg	null	Pharmacokinetics	Efficacious	Unclear	Phase 1	NCT00983515	null	null	null	null	null
DCU06422	Efavirenz: 600 mg; Lamivudine: 150 mg; Zidovudine: 300 mg	null	HIV-1 Infections	Efficacious	Unclear	Phase 3	NCT00098293	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	Of those with baseline high- density lipoprotein cholesterol (HDL-c) < 40 mg/dL, 43% (56/130) of maravirocand 62% (86/139) of efavirenz-treated patients achieved HDL-c < 40 mg/dL at 96 weeks (P = .0020).	null	active
DCU06423	Efavirenz: 600 mg; Lamivudine: 150 mg; Zidovudine: 300 mg	null	HIV Infections	Efficacious	Unclear	Phase 4	NCT00084136	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06430		null	Disorder Related to Cardiac Transplantation	Efficacious	Unclear	Phase 4	NCT00377962	D47.Z1 Post-transplant lymphoproliferative disorder (PTLD);	C00-D48  Neoplasms; D37-D48  Neoplasms of uncertain or unknown behaviour; D47  Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue; D47.Z1 Post-transplant lymphoproliferative disorder (PTLD)	null	null	null
DCU06470	Candesartan: 32 mg; Nifedipine: 60 mg	null	Hypertension	Efficacious	Unclear	Phase 1	NCT01227603	I10 Essential (primary) hypertension	I00-I99  Diseases of the circulatory system; I10-I15  Hypertensive diseases; I10  Essential (primary) hypertension	null	null	null
DCU06473	Darunavir: 600 mg; Ritonavir: 100 mg	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00381303	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06474	Darunavir: 300 mg; Ritonavir: 100 mg	null	HIV Infections	Efficacious	Unclear	Phase 3	NCT00421551	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06492	null	null	Diabetes Mellitus, Non-Insulin-Dependent	Efficacious	Unclear	Phase 3	NCT00680745	E11  Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	"At 24 weeks, HbA1c adjusted mean changes from baseline for placebo versus dapagliflozin 2.5/5/10 mg groups were -0.13 versus -0.58, -0.63, -0.82 %, respectively (all p < 0.0001 vs. placebo by Dunnett's procedure)."	null	effective and well tolerated
DCU06507	Aspirin: 81 mg; Pioglitazone: 30 mg	null	Diabetes	Efficacious	Unclear	Phase 2	NCT00861341	E11.5 Type 2 diabetes mellitus with circulatory complications;	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus; E11.5 Type 2 diabetes mellitus with circulatory complications	null	null	null
DCU06514	Efavirenz: 600 mg; Lamivudin: 300 mge; Stavudine: 40 mg	null	HIV Infection	Efficacious	Unclear	Phase 4	NCT00342355	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06563	Arginine hydrochloride: 6 g; Vitamin d: 50000 IU	null	Smear Positive Pulmonary Tuberculosis	Non-efficacious	Unclear	Phase 3	NCT00677339	A15.7 Primary respiratory tuberculosis	A00-B99  Certain infectious and parasitic diseases; A15-A19  Tuberculosis; A15  Respiratory tuberculosis; A15.7 Primary respiratory tuberculosis	null	null	null
DCU06567	Bupivacaine: 0.5 %; Clonidine 25 mcg; Lidocaine: 1%	null	Postoperative Pain	Non-efficacious	Unclear	Phase 3	NCT00678379	G89.18 Other acute postprocedural pain	G00-G99  Diseases of the nervous system; G80-G83  Cerebral palsy and other paralytic syndromes; G89  Unspecified disorder of psychological development; G89.18 Other acute postprocedural pain	null	null	null
DCU06574	Carbidopa: 25 mg; Entacapone: 200 mg; Levodopa: 100 mg	null	"Parkinson's Disease"	Efficacious	Unclear	Phase 3	NCT00134966	"G20 Parkinson's disease"	"G00-G99  Diseases of the nervous system; G20-G26  Extrapyramidal and movement disorders; G20  Parkinson's disease"	null	null	null
DCU06580	Drotrecogin alfa: 6 mcg/kg/hr; Enoxaparin: 1 mg/kg	null	Submassive Pulmonary Embolism	Efficacious	Unclear	Phase 2	NCT00191724	I27.82 Chronic pulmonary embolism	I00-I99  Diseases of the circulatory system; I26-I28  Pulmonary heart disease and diseases of pulmonary circulation; I27  Other pulmonary heart diseases; I27.82 Chronic pulmonary embolism	In patients with a D-dimer level >4 mg/L indicating a high level of acute fibrin formation and dissolution, DAA infusion resulted in a more rapid drop in soluble fibrin, D-dimer, and fibrinogen/fibrin degradation products (FDP) levels, compared with enoxaparin alone.	null	effective and well tolerated
DCU06638	Floxacillin: 1-2 mg; Nafcillin: 1-2 g; Oxacillin: 1-2 g; Teicoplanin: 6 mg/kg; Vancomycin: 1g	null	Osteomyelitis	Efficacious	Unclear	Phase 2	NCT00428844	M86 Osteomyelitis	M00-M99   Diseases of the musculoskeletal system and connective tissue; M80-M85  Disorders of bone density and structure; M86  Osteomyelitis	null	null	null
DCU06645	Lisinopril: 10/20/40 mg; Losartan: 50/100 mg	null	Kidney Diseases	Non-efficacious	Unclear	Phase 3	NCT00555217	E11.2 Type 2 diabetes mellitus with kidney complications	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus; E11.2 Type 2 diabetes mellitus with kidney complications	null	null	null
DCU06649	Capecitabine: 1000 mg/m2; Sorafenib: 400 mg	null	Breast Cancer	Efficacious	Unclear	Phase 2	NCT00493636	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU06687	Carboplatin75 mg/m2; Pemetrexed: 500 mg/m2	null	Non-Small-Cell Lung Cancer	Efficacious	Unclear	Phase 2	NCT00402051	C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung; C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	null	null	null
DCU06690	Carboplatin: AUC=5; Pemetrexed: 500 mg	null	Small Cell Lung Cancer	Non-efficacious	Unclear	Phase 3	NCT00363415	C34 Malignant neoplasm of bronchus and lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung	null	null	null
DCU06691	Carboplatin: AUC 5; Pemetrexed: 500 mg	null	Advanced Non-Small Cell Lung Cancer	Non-efficacious	Unclear	Phase 2	NCT00786331	C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	C00-D48  Neoplasms; C30-C39  Malignant neoplasms of respiratory and intrathoracic organs; C34  Malignant neoplasm of bronchus and lung; C34.90 Malignant neoplasm of unspecified part of unspecified bronchus or lung	null	null	null
DCU06695	Cisplatin: 120 mg/m2; Doxorubicin: 30 mg/m2; Ifosfamid: 2.5 mg/m2e; Palifermin: 180 mcg/kg; Vincristine: 2 mg	null	Sarcoma	Need further study	Unclear	Phase 2	NCT00267046	K12.31 Oral mucositis (ulcerative) due to antineoplastic therapy	K00-K93   Diseases of the digestive system; K00-K14  Diseases of oral cavity, salivary glands and jaws; K12  Stomatitis and related lesions; K12.31 Oral mucositis (ulcerative) due to antineoplastic therapy	null	null	null
DCU06702	null	null	Metastatic Cancer	Non-efficacious	Unclear	Phase 3	NCT00134056	C61 Malignant neoplasm of prostate	C00-D48  Neoplasms; C60-C63  Malignant neoplasms of male genital organs; C61  Malignant neoplasm of prostate	null	null	null
DCU06705	Octenidine: 0.1% ; 1-propanol: 30%	null	Catheterization, Central Venous	Efficacious	Unclear	Phase 4	NCT00515151	null	null	null	null	null
DCU06722	Conivaptan: 20 mg; Furosemide: 80 mg	null	Heart Failure	Need further study	Unclear	No information	NCT00924014	I46 Cardiac arrest	I00-I99  Diseases of the circulatory system; I30-I52  Other forms of heart disease; I46  Cardiac arrest	null	null	null
DCU06723	Atorvastatin: 40 mg; Simvastatin: 20 mg	null	Hypercholesterolemia	Efficacious	Unclear	Phase 4	NCT00652327	E78.0 Pure hypercholesterolemia	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E78  Disorders of lipoprotein metabolism and other lipidaemias; E78.0 Pure hypercholesterolemia	null	null	null
DCU06724	Atorvastatin: 40 mg; Simvastatin: 20 mg	null	Cardiovascular Disorder	Efficacious	Unclear	Phase 3	NCT00862251	I51.9 Heart disease, unspecified	I00-I99  Diseases of the circulatory system; I30-I52  Other forms of heart disease; I51  Complications and ill-defined descriptions of heart disease; I51.9 Heart disease, unspecified	null	null	null
DCU06729	Lamivudine: 300 mg; Raltegravir: 100/200/400/600 mg; Tenofovir: 300 mg	null	HIV Infections	Need further study	Unclear	Phase 2	NCT00100048	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06746	Basiliximab: 20 mg; Everolimus: 1 mg; Mycophenolate acid: 1080 mg; Prednisolone: 1mg/kg	null	Liver Transplantation	Need further study	Unclear	Phase 2	NCT00890253	null	null	null	null	null
DCU06749	Obinutuzumab: 800/1000 mg; CHOP	null	"Non-Hodgkin's Lymphoma"	Need further study	Unclear	Phase 1	NCT00825149	C85.9 Non-Hodgkin lymphoma, unspecified	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C85  Other specified and unspecified types of non-Hodgkin lymphoma; C85.9 Non-Hodgkin lymphoma, unspecified	null	null	null
DCU06776	Acetaminophen: 1g; Morphine: 0.1 mg/kg	null	Urolithiasis	Efficacious	Unclear	Phase 4	NCT01318187	N20-N23 Urolithiasis	N20-N23 Urolithiasis	null	null	null
DCU06779	Carbamazepine: 400 mg; Nevirapine: 200 mg	null	HIV Infections	Efficacious	Unclear	Phase 2	NCT00294892	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06781	Liraglutide:  0.6/0.9 mg/day; Sulfonylurea	null	Diabetes	Efficacious	Unclear	Phase 3	NCT00395746	E11 Type 2 diabetes mellitus	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus	null	null	null
DCU06795	Atazanavir: 300 mg; Emtricitabine: 200 mg; Ritonavir: 100 mg; Tenofovir: 300 mg	null	HIV Infection	Non-efficacious	Unclear	Phase 2	Literature curated	B20  Human immunodeficiency virus [HIV] disease	A00-B99  Certain infectious and parasitic diseases; B20-B24  Human immunodeficiency virus (HIV) disease; B20  Human immunodeficiency virus (HIV) disease resulting in infectious and parasitic diseases	null	null	null
DCU06808	Carboplatin: AUC 6; Docetaxel: 30 mg/m2	null	Ovarian Cancer	Efficacious	Unclear	Phase 2	NCT00090610	C56 Malignant neoplasm of ovary	C00-D48  Neoplasms; C51-C58  Malignant neoplasms of female genital organs; C56  Malignant neoplasm of ovary	null	null	null
DCU06815	Loteprednol Etabonate: 0.5%; Tobramycin: 0.3%	null	Inflammation	Efficacious	Unclear	Phase 4	NCT00532961	null	null	null	null	null
DCU06830	Doxycycline: 100 mg; Ethinyl Estradiol: 20 mcg; Levonorgestrel: 90 mcg	null	Contraceptives, Oral	Non-efficacious	Unclear	No information	NCT00480532	Z30.9 Encounter for contraceptive management, unspecified	Z00-Z99   Factors influencing health status and contact with health services; Z30-Z39  Persons encountering health services in circumstances related to reproduction; Z30  Encounter for contraceptive management; Z30.9 Encounter for contraceptive management, unspecified	null	null	null
DCU06834	Colchicine: 0.6 mg; Ketoconazole: 200 mg	null	Pharmacokinetics	Non-efficacious	Unclear	Phase 1	NCT00983216	null	null	null	null	null
DCU06857	Docetaxel: 75 mg/m2; Doxorubicin: 30 mg/m2;	null	Breast Cancer	Efficacious	Unclear	Phase 3	NCT00091442	C50 Malignant neoplasms of breast	C00-D48  Neoplasms; C50-C50  Malignant neoplasm of breast; C50  Malignant neoplasm of breast	null	null	null
DCU06864	Capecitabine: 1250 mg/m2; Epirubicin: 50 mg/m2; Oxaliplatin: 130 mg/m2; Panitumumab: 9 mg/kg	null	Oesophago-gastric Cancer	Non-efficacious	Unclear	Phase 3	Literature curated	C16 Malignant neoplasm of stomach	C00-D48  Neoplasms; C15-C26  Malignant neoplasms of digestive organs; C16  Malignant neoplasm of stomach	null	null	null
DCU06871	LMWH: 2 mg/kg; Warfarin:0.5/2.5/5 mg/kg	null	Venous Thromboembolism	Efficacious	Unclear	Phase 3	NCT00986154	I81  Portal vein thrombosis; I82  Other venous embolism and thrombosis	I00-I99  Diseases of the circulatory system; I80-I89  Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified; I81  Portal vein thrombosis | I00-I99  Diseases of the circulatory system; I80-I89  Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified; I82  Other venous embolism and thrombosis	null	null	null
DCU06874	Cyclophosphamide: 300 mg/m2; Dexamethasone: 40 mg/m2; Lenalidomide: 25 mg	null	Multiple Myeloma and Plasma Cell Neoplasm	Efficacious	Unclear	Phase 2	NCT00478218	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	null	null	null
DCU06886	Bicalutamide: 50 mg; Dutasteride: 3.5 mg; Goserelin acetate: 10.8 mg; Ketoconazole: 200 mg	null	Cancer	Efficacious	Unclear	Phase 2	NCT00298155	C61 Malignant neoplasm of prostate	C00-D48  Neoplasms; C60-C63  Malignant neoplasms of male genital organs; C61  Malignant neoplasm of prostate	null	null	null
DCU06902	Ciprofloxacin: 15-20 mg/kg; Tobramycin: 300 mg	null	Cystic Fibrosis	Non-efficacious	Unclear	Phase 2	NCT00097773	E84.9 Cystic fibrosis, unspecified	E00-E90  Endocrine, nutritional and metabolic diseases; E70-E90  Metabolic disorders; E84  Cystic fibrosis; E84.9 Cystic fibrosis, unspecified	null	null	null
DCU06910	Lenalidomide: 10 mg; Melphalan: 200 mg; Prednisone: 2 mg/kg	null	Multiple Myeloma	Efficacious	Unclear	Phase 3	NCT00551928	C90 Multiple myeloma and malignant plasma cell neoplasms	C00-D48  Neoplasms; C81-C96  Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue; C90  Multiple myeloma and malignant plasma cell neoplasms	null	null	null
DCU06919	Metformin: 850 mg; Pioglitazone: 15 mg	null	Diabetes Mellitus	Efficacious	Unclear	Phase 3	NCT00770653	E11.5 Type 2 diabetes mellitus with circulatory complications;	E00-E90  Endocrine, nutritional and metabolic diseases; E10-E14  Diabetes mellitus; E11  Non-insulin-dependent diabetes mellitus; E11.5 Type 2 diabetes mellitus with circulatory complications	null	null	null
DCU06954	null	null	Depression	Efficacious	Unclear	Phase 3	NCT00369343	F32.9 Major depressive disorder, single episode, unspecified	F00-F99  Mental and behavioural disorders; F30-F39  Mood [affective] disorders; F32  Major depressive disorder, single episode; F32.9 Major depressive disorder, single episode, unspecified	null	null	null
DCU06991	Pentobarbital/Thiopental: 2mg/kg	null	Status Epilepticus	Need further study	Unclear	Phase 3	Literature curated	G40.501 Epileptic seizures related to external causes, not intractable, with status epilepticus	G00-G99  Diseases of the nervous system; G40-G47  Episodic and paroxysmal disorders; G40  Epilepsy and recurrent seizures; G40.501 Epileptic seizures related to external causes, not intractable, with status epilepticus	null	null	null
